Finnish;English;Hungarian
avain;key;kulcs
harjoitus;exercise;gyakorlat
ikkuna;window;ablak
kahvitauko;coffee break;kávészünet
kansio;folder, binder;mappa
kello;clock;óra
kielikurssi;language course;nyelvtanfolyam
kirja;book;könyv
kotitehtävä, läksyt;homework;házi feladat
kumi, pyyhekumi;eraser;radír
kurssi;course;tantermi (or kurzus)
kuulakärkikynä;ballpoint pen;golyóstoll
kynä;pen / pencil;toll / ceruza
kysymys;question;kérdés
kännykkä;mobile phone;mobiltelefon
kääntäjä;translator;fordító
lamppu;lamp;lámpa
laukku;bag;táska
liima;glue;ragasztó
lounastauko;lunch break;ebédszünet
luokka;classroom;osztályterem
lyijykynä;pencil;ceruza
opettaja;teacher;tanár
opetus;teaching;oktatás
opiskelija;student;diák
opiskelu;study, studying;tanulás
oppikirja;textbook;tankönyv
ovi;door;ajtó
paperi;paper;papír
puhelin;telephone;telefon
pulpetti;desk;pad
pöytä;table;asztal
reppu;backpack;hátizsák
roskakori;trash can;szelektív kuka (or kuka)
sanakirja;dictionary;szótár
tauko;break;szünet
tehtävä;exercise, task;feladat
teippi;tape;ragasztószalag
teroitin;pencil sharpener;hegyező
tietokone;computer;számítógép
tuoli;chair;szék
valkotaulu;whiteboard;tábla
valo;light;világítás (or fény)
vastaus;answer;válasz
verhot;curtains;függönyök
vihko;notebook;füzet
virhe;mistake;hiba
viivoitin;ruler;vonalzó
välitunti;recess;óraközi szünet
Alleviivaa uudet sanat!;Underline the new words!;Húzd alá az új szavakat!
Avaa kirja sivulle 20.;Open the book to page 20.;Nyisd ki a könyvet a 20. oldalon.
Haluaako joku kysyä jotain?;Does someone want to ask something?;Valaki szeretne kérdezni valamit?
Haluatko kysyä jotain?;Do you want to ask something?;Szeretnél valamit kérdezni?
Huomenna opiskelet itsenäisesti.;Tomorrow you will study independently.;Holnap önállóan fogsz tanulni.
Huomenna pidetään testi.;Tomorrow there will be a test.;Holnap teszt lesz.
Keskustele parisi kanssa!;Discuss with your partner!;Beszélj a pároddal!
Keskustele pienryhmässä!;Discuss in a small group!;Beszéljetek kis csoportban!
Kirjoita kuvasta!;Write about the picture!;Írj a képről!
Kirjoita oikea vastaus!;Write the correct answer!;Írd le a helyes választ!
Kirjoita sanat ylös!;Write the words down!;Írd fel a szavakat!
Kirjoita uudet sanat vihkoon!;Write the new words in the notebook!;Írd az új szavakat a füzetbe!
Kirjoita vastaukset!;Write the answers!;Írd le a válaszokat!
Kirjoita vihkoon!;Write in the notebook!;Írj a füzetbe!
Koulu alkaa huomenna kello 9.00.;School starts at 9 am tomorrow.;Az iskola holnap 9-kor kezdődik.
Kuuntele ja kirjoita vastaus!;Listen and write the answer!;Hallgasd és írd le a választ!
Kuuntele ja kirjoita!;Listen and write!;Hallgasd és írd le!
Kuuntele minua!;Listen to me!;Figyelj rám!
Kuuntele, kun joku muu puhuu!;Listen when someone else speaks!;Hallgasd, amikor valaki más beszél!
Kysy ja vastaa!;Ask and answer!;Kérdezz és válaszolj!
Kysy, jos et ymmärrä!;Ask if you don't understand!;Kérdezz, ha nem értesz!
Kysy pariltasi!;Ask your partner!;Kérdezd meg a partnered!
Lue dialogi parin kanssa!;Read the dialogue with your partner!;Olvasd el a párbeszédet a pároddal!
Lue teksti!;Read the text!;Olvasd el a szöveget!
Lue ääneen!;Read aloud!;Olvasd fel hangosan!
Mene istumaan!;Go sit down!;Menj és ülj le!
Muista tehdä kotitehtävä!;Remember to do your homework!;Ne felejtsd el megcsinálni a házit!
Odota hetki.;Wait a moment.;Várj egy pillanatot.
Odota vähän!;Wait a little!;Várj egy kicsit!
Onko kysymyksiä?;Any questions?;Van kérdés?
Opiskele uudet sanat!;Study the new words!;Tanuld az új szavakat!
Palauta tehtävä huomenna!;Turn in the assignment tomorrow!;Add le a feladatot holnap!
Pidetään tauko!;Let's take a break!;Tartsunk szünetet!
Puhu naapurin kanssa!;Talk to your neighbor!;Beszélj a szomszéddal!
Tarvitsetko apua?;Do you need help?;Szükséged van segítségre?
Tee kotitehtävä!;Do the homework!;Csináld meg a házit!
Tee tehtävä!;Do the assignment!;Csináld meg a feladatot!
Tule tänne!;Come here!;Gyere ide!
Tänään opiskellaan verbityyppejä.;Today we are learning the verb types.;Ma a igeidőket tanuljuk.
Täydennä aukot!;Fill in the gaps!;Töltsd ki az üres helyeket!
Vastaa kysymyksiin!;Answer the questions!;Válaszolj a kérdésekre!
Ymmärrätkö?;Do you understand?;Érted?
Ympyröi oikea vastaus!;Circle the correct answer!;Karikázd be a helyes választ!
Anteeksi, että olen myöhässä.;I'm sorry I'm late.;Elnézést, hogy késem.
Anteeksi, voinko kysyä jotain?;I'm sorry, can I ask something?;Elnézést, kérdezhetek valamit?
En muista.;I don't remember.;Nem emlékszem.
En muistanut tehdä kotitehtävää.;I didn't remember to do the homework.;Nem emlékeztem, hogy megcsináljam a házit.
En osaa vastata tähän kysymykseen.;I can't answer this question.;Nem tudok válaszolni erre a kérdésre.
En tiedä vastausta tähän kysymykseen.;I don't know the answer to this question.;Nem tudom a választ erre a kérdésre.
En tiedä.;I don't know.;Nem tudom.
En tiedä, mitä tähän pitää kirjoittaa.;I don't know what to write here.;Nem tudom, mit kell ide írni.
En voi tulla kouluun huomenna.;I can't come to school tomorrow.;Holnap nem tudok iskolába jönni.
En ymmärrä tätä tehtävää.;I don't understand this assignment.;Nem értem ezt a feladatot.
En ymmärrä, mitä tämä tarkoittaa.;I don't understand what this means.;Nem értem, mit jelent ez.
En ymmärrä, mitä tässä pitää tehdä.;I don't understand what I have to do here.;Nem értem, mit kell itt csinálnom.
En ymmärrä.;I don't understand.;Nem értem.
Kirjani jäi kotiin.;My book was left at home.;A könyvem otthon maradt.
Käyn huomenna Kelassa.;I'm going to Kela tomorrow.;Holnap megyek a Kelához.
Käyn huomenna lääkärillä.;I'm going to the doctor tomorrow.;Holnap megyek az orvoshoz.
Lapseni on sairas.;My child is sick.;A gyermekem beteg.
Miksi tätä kutsutaan suomeksi?;How do you call this in Finnish?;Hogyan hívják ezt finnül?
Miksi tätä sanotaan suomeksi?;How do you say this in Finnish?;Hogyan mondják ezt finnül?
Mikä tämä on?;What is this?;Mi ez?
Minulla on flunssa.;I have the common cold.;Nátha van.
Minulla on kysymys.;I have a question.;Van egy kérdésem.
Minulla on tapaaminen huomenna.;I have an appointment tomorrow.;Holnap van egy találkozóm.
Miten sanotaan suomeksi "please"?;How do you say "please" in Finnish?;Hogyan mondják finnül, hogy „kérlek"?
Mitä meidän pitää nyt tehdä?;What should we do now?;Mit kell most tennünk?
Mitä se tarkoittaa?;What does it mean?;Mit jelent ez?
Mitä tässä harjoituksessa pitää tehdä?;What do we have to do in this exercise?;Mit kell csinálnunk ebben a feladatban?
Myöhästyin bussista.;I was late for the bus.;Lekéstem a buszt.
Nukuin pommiin.;I overslept.;Elaludtam.
Olen sairas.;I'm sick.;Beteg vagyok.
Olen valmis.;I'm ready.;Kész vagyok.
Onko meillä kotitehtävä?;Do we have homework?;Van házink?
Onko tämä oikein?;Is this correct?;Ez helyes?
Tulen huomenna vasta kello kymmenen.;I will only come at 10 am tomorrow.;Holnap csak 10-kor jövök.
Tulen vähän myöhässä.;I will be a little late.;Kicsit késve jövök.
Unohdin kotitehtäväni kotiin.;I forgot my homework at home.;Otthon felejtettem a házimat.
Unohdin kynäni kotiin.;I forgot my pen at home.;Otthon felejtettem a tollamat.
Unohdin tehdä kotitehtävän.;I forgot to do my homework.;Elfelejtettem megcsinálni a házit.
Voinko käydä vessassa nyt?;Can I go to the bathroom now?;Most elmehetek a mosdóba?
Voinko lainata kynää?;Can I borrow a pen?;Kölcsönkérhetek egy tollat?
Voisitko antaa esimerkkejä?;Could you give some examples?;Tudnál példákat adni?
Voisitko auttaa minua?;Could you help me?;Tudnál segíteni nekem?
Voisitko puhua hitaammin?;Could you talk more slowly?;Tudnál lassabban beszélni?
Voisitko sanoa uudelleen?;Could you say that again?;Meg tudnád ismételni?
Voisitko tarkistaa tämän?;Could you check this?;Tudnád ellenőrizni ezt?
