French;French (phonetic);Finnish;Hungarian
un bon vin blanc;œ̃ bɔ̃ vɛ̃ blɑ̃;hyvä valkoviini;jó fehérbor
Finlande;fɛ̃lɑ̃d;Suomi;Finnország
indépendant;ɛ̃depɑ̃dɑ̃;itsenäinen;független
vin;vɛ̃;viini-b;bor
juin;ʒɥɛ̃;kesäkuu;június
cinq;sɛ̃k;viisi;öt
matin;matɛ̃;aamu;reggel
chemin;ʃəmɛ̃;polku;ösvény
impossible;ɛ̃pɔsibl;mahdoton;lehetetlen
simple;sɛ̃pl;yksinkertainen;egyszerű
importer;ɛ̃pɔʁte;tuoda maahan;importálni
syndrome;sɛ̃dʁom;oireyhtymä;szindróma
synthèse;sɛ̃tɛz;yhteenveto;szintézis
syndical;sɛ̃dikal;ammatillinen;szakszervezeti
larynx;laʁɛ̃ks;kurkunpää;gége
lynx;lɛ̃ks;ilves;hiúz
symbole;sɛ̃bɔl;symbooli;szimbólum
sympathique;sɛ̃patik;miellyttävä;rokonszenves
symphonie;sɛ̃fɔni;sinfonia;szimfónia
symbiose;sɛ̃bjoz;symbioosi;szimbiózis
hein;ɛ̃;hä? (ihmetys);hein? (meglepődés)
ceinture;sɛ̃tyʁ;vyö;öv
peindre;pɛ̃dʁ;maalata;festeni
peinture;pɛ̃tyʁ;maalaus;festmény
éteindre;etɛ̃dʁ;samuttaa;eloltani
bain;bɛ̃;kylpy;fürdő
pain;pɛ̃;leipä;kenyér
main;mɛ̃;käsi;kéz
certain;sɛʁtɛ̃;varma;bizonyos
humain;ymɛ̃;inhimillinen;emberi
rien;ʁjɛ̃;ei mitään;semmi
vient;vjɛ̃;tulee;jön
ancien;ɑ̃sjɛ̃;vanha, entinen;régi
comédien;kɔmedjɛ̃;näyttelijä (mies);színész (fiú) – fiú
chirurgien;ʃiʁyʁʒjɛ̃;kirurgi (mies);sebész (fiú) – fiú
doyen;dwajɛ̃;vanhin jäsen;doyen
moyen;mwajɛ̃;keino;eszköz
citoyen;sitwajɛ̃;kansalainen (mies);állampolgár (fiú) – fiú
lycéen;liseɛ̃;lukiolainen (mies);gimnazista (fiú) – fiú
européen;øʁɔpeɛ̃;eurooppalainen (mies);európai (fiú) – fiú
coréen;kɔʁeɛ̃;korealainen (mies);koreai (fiú) – fiú
un;œ̃;yksi;egy
lundi;lœ̃di;maanantai;hétfő
commun;kɔmœ̃;yhteinen;közös
chacun;ʃakœ̃;jokainen;mindenki
brun;brœ̃;ruskea;barna
parfum;paʁfœ̃;hajuvesi;parfüm
humble;œ̃bl;vaatimaton;alázatos
album;albɔm;albumi;album
forum;fɔʁɔm;foorumi;fórum
minimum;minimɔm;minimi;minimum
maximum;maksimɔm;maksimi;maximum
planétarium;planetarjɔm;planetaario;planetárium
aquarium;akwaʁjɔm;akvaario;akvárium
sans;sɑ̃;ilman;nélkül
dans;dɑ̃;sisällä;benne
avant;avɑ̃;ennen;előtt
quand;kɑ̃;milloin;mikor
planter;plɑ̃te;istuttaa;ültetni
confiance;kɔ̃fjɑ̃s;luottamus;bizalom
chambre;ʃɑ̃bʁ;huone;szoba
ambulance;ɑ̃bylɑ̃s;ambulanssi;mentőautó
ambiance;ɑ̃bjɑ̃s;tunnelma;hangulat
cent;sɑ̃;sata;száz
dent;dɑ̃;hammas;fog
argent;aʁʒɑ̃;hopea/raha;ezüst/pénz
content;kɔ̃tɑ̃;tYYtyväinen;elégedett
lentement;lɑ̃tmɑ̃;hitaasti;lassan
temps;tɑ̃;aika;idő
exemple;ɛɡzɑ̃pl;esimerkki;példa
embrasser;ɑ̃bʁɑse;halata/pusutella;megölelni
bon;bɔ̃;hyvä;jó
long;lɔ̃;pitkä;hosszú
oncle;ɔ̃kl;setä/nayj;nagybácsi
monter;mɔ̃te;noustaa;felmenni
réunion;ʁeynjɔ̃;kokous;gyűlés
combien;kɔ̃bjɛ̃;kuinka paljon;mennyi
tomber;tɔ̃be;pudota;leesni
pompe;pɔ̃p;pumppu;szivattyú
