Finnish;English;Hungarian
aurinko;sun;nap
aurinkokunta;solar system;naprendszer
auringonpimennys;solar eclipse;napfogyatkozás
asteroidi;asteroid;aszteroida
asteroidivyöhyke;asteroid zone;aszteroidaöv
astrobiologia;astrobiology;asztrobiológia
atmosfääri, ilmakehä;atmosphere;légkör
eksoplaneetta;exoplanet;exobolygó
galaksi;galaxy;galaxis
hapeton;oxygen-free;oxigénmentes
Iso Karhu;Ursa Major;Nagy Medve
kaasusumu;nebula;köd (csillagköd)
kaasuplaneetta;gas planet;gázbolygó
kiertorata;orbit;pálya
komeetta, pyrstötähti;comet;üstökös
kosmologia;cosmology;kozmológia
kosmos;cosmos;világegyetem
kuu;moon;hold
kuunpimennys;lunar eclipse;holdfogyatkozás
linnunrata;milky way;Tejút
maailmankaikkeus;universe;univerzum
meteori;meteor;meteorit
meteoriitti;meteorite;meteoritdarab
tähtikuvio, tähdistö;constellation;csillagkép
Otava;Big Dipper;Göncölszekér
pohjantähti;the pole star;Északi Csillag
punainen jättiläinen;red giant;vörös óriás
supernova;supernova;szupernóva
taivas;sky;ég
tyhjiö;vacuum;vákuum
tähdenlento;shooting star;hullócsillag
tähti;star;csillag
tähtisumu;nebula, stardust;csillagköd
tähtitiede, astronomia;astronomy;csillagászat
astronomi, tähtitieteilijä;astronomer;csillagász
tähtitieteellinen;astronomical;csillagászati
täysikuu;full moon;telihold
Valkoinen Kääpiö;White Dwarf;Fehér Törpe
alkuräjähdys;big bang;nagy bumm
astronautti, avaruuslentäjä;astronaut;űrhajós
avaruus;space;űr
avaruusalus;spaceship;űrhajó
avaruusasema;space station;űrállomás
avaruuskypärä;space helmet;űrsisak
avaruuslento;space flight;űrutazás
avaruusluotain;space probe;űrszonda
avaruusolento;alien;idegen lény
avaruuspuku;space suit;űrruha
kaukoputki, teleskooppi;telescope;távcső
kääpiöplaneetta;dwarf planet;törpebolygó
maan ulkopuolinen elämä;extraterrestrial life;földönkívüli élet
musta aukko;black hole;fekete lyuk
painovoima;gravity;gravitáció
painottomuus;weightlessness;súlytalanság
pimeä aine;dark substance;sötét anyag
planeetta;planet;bolygó
planetoidi;planetoid;planetoid
satelliitti;satellite;műhold
sukkulalento;shuttle flight;űrrepülés
taivaankappale;celestial body;égi test
ufo;ufo;UFO
valonnopeus;speed of light;fénysebesség
valovuosi;lightyear;fényév
Maa;Earth;Föld
Jupiter;Jupiter;Jupiter
Mars;Mars;Mars
Merkurius;Mercury;Merkúr
Neptunus;Neptune;Neptunusz
Saturnus;Saturn;Szaturnusz
Uranus;Uranus;Uránusz
Venus;Venus;Vénusz
Maa kiertää aurinkoa.;The Earth orbits the sun.;A Föld kering a Nap körül.
Satelliitti kiertää maapalloa.;The satellite orbits the Earth.;A műhold kering a Föld körül.
Sukkula on kiertoradalla.;The shuttle is in orbit.;A űrrepülő pályán van.
Tämä on pieni askel ihmiselle,...;That's one small step for man,;Ez egy kis lépés az embernek,...
...mutta suuri harppaus ihmiskunnalle.;but one giant leap for mankind.;...de hatalmas ugrás az emberiségnek.
Kuukävely oli huijaus.;The moon landing was a hoax.;A holdraszállás átverés volt.
Avaruusalus laskeutuu Marsiin.;The spaceship lands on Mars.;Az űrhajó leszáll a Marson.
Miehet ovat Marsista, naiset Venuksesta.;Men are from Mars, women are from Venus.;A férfiak a Marsról, a nők a Vénuszról vannak.
Onko Marsissa elämää?;Is there life on Mars?;Van élet a Marson?
Ufot sieppasivat minut.;I was abducted by aliens.;Idegenek elraboltak.
Uskotko sinä ufoihin?;Do you believe in UFOs?;Hiszel az UFO-kban?
Näin ufon matkallani kotiin.;I saw a UFO on my way home.;Úton hazafelé láttam egy UFÓ-t.
Avaruusolentoja ei ole olemassakaan.;Aliens don't exist.;Az idegen lények nem léteznek.
Uskon avaruusolentoihin.;I believe in aliens.;Hiszek az idegen lényekben.
En usko avaruusolentoihin.;I don't believe in aliens.;Nem hiszek az idegen lényekben.
Poika haluaa isona astronautiksi.;The boy wants to be an astronaut when he grows up.;A fiú astronauta szeretne lenni, ha felnő.
Voiko matkustaa valonnopeudella?;Is it possible to travel at lightspeed?;Lehetséges fénysebességgel utazni?
Suuri asteroidi iskeytyi Maahan.;A large asteroid struck Earth.;Egy nagy aszteroida csapódott a Földbe.
Linnunradan käsikirja liftareille;The Hitchhiker's Guide to the Galaxy (book);Az Űrodüsszeia útikalauza
Täällä Pohjantähden alla;Under the North Star (trilogy);Az Északi Csillag alatt (trilógia)
