Finnish;English;Hungarian
Verbejä;Verbs;Igék
anoa;to plead;könyörögni
ennustaa;to predict;megjósolni
epäillä;to doubt;kételkedni
esittää;to present;előadni
flirttailla;to flirt;flörtölni
hiljentää;to hush;elhallgattatni
huudahtaa;to exclaim;felkiáltani
huutaa;to shout;kiabálni
ilmoittaa;to inform;tájékoztatni
jutella;to chat;beszélgetni
keskustella;to converse;társalogni
kieltää;to deny;tagadni
kiljua;to scream;visítani
kiistellä, riidellä;to argue;vitatkozni, veszekedni
kiittää;to thank, to praise;megköszönni, dicsérni
komentaa;to command;parancsolni
kommunikoida;to communicate;kommunikálni
kuiskailla;to whisper;súgdolódni
kutsua;to invite;meghívni
kuulustella;to interrogate;kihallgatni
kuunnella;to listen;hallgatni
kysyä;to ask;kérdezni
käskeä;to order;utasítani
luvata;to promise;megígérni
mumista;to mumble;motyogni
nöyryyttää;to humiliate;megalázni
oikeuttaa;to justify;igazolni
osoittaa;to indicate;rámutatni
puhua;to speak;beszélni
pyytää;to request;kérni
rukoilla;to pray;imádkozni
saarnata;to lecture;prédikálni
sanoa;to say;mondani
selittää;to explain;magyarázni
selvittää;to clarify;tisztázni
todistaa;to prove;bizonyítani
toivottaa;to wish;kívánni
vahvistaa;to confirm;megerősíteni
vakuuttaa;to convince;meggyőzni
valehdella;to lie;hazudni
valistaa;to enlighten;felvilágosítani
vihjata;to insinuate;célozni (utalni)
väittää;to claim;állítani
yleistää;to generalize;általánosítani
ärjyä;to yell;ordítani
äänestää;to vote;szavazni
Substantiiveja;Nouns;Főnevek
epäily;doubt;kétely
esitys;presentation;előadás
huudahdus;exclamation;felkiáltás
huumori;humour;humor
huuto;scream;kiáltás
keskustelu;conversation;beszélgetés
kiista;argument;vita
kohteliaisuus;compliment;udvariasság
kokous;meeting;gyűlés
kutsu;invitation;meghívás
käsky (imperative);order;parancs
kuiskailu;whispering;súgdolózás
lupaus;promise;ígéret
murre;dialect;nyelvjárás
puhekieli;spoken language;beszélt nyelv
pyyntö;request;kérés
reaktio;reaction;reakció
riita;fight;veszekedés
ruumiinkieli;body language;testbeszéd
selkkaus;conflict;összetűzés
selvennys;clarification;pontosítás
tapaaminen;appointment;találkozó
yleistys;generalisation;általánosítás
äänensävy;tone of voice;hangszín
