Finnish;English;Hungarian
matelija;reptile;hüllő
käärme;snake;kígyó
kyykäärme;adder;vipera
rantakäärme;grass snake;réti kígyó
kobra;cobra;kobra
silmälasikäärme;spectacled cobra;szemüveges kobra
sisilisko;lizard;gyík
kilpikonna;turtle;teknős
alligaattori;alligator;aligátor
krokotiili;crocodile;krokodil
kaimaani;caiman;kajmán
suokilpikonna;terrapin;mocsári teknős
sammakko;frog;béka
rupisammakko;toad;varangy
etana;snail;csiga
kuningasboa;boa constrictor;boa constrictor
keuhkot;lungs;tüdő
munia;to lay eggs;tojni
hautoa munia;to bury eggs;kotlani
lamauttaa saalis;to paralyze prey;megbénítja a zsákmányt
alkio;embryo;embrió
suomu;scale; pikkely
raajaton;legless;lábatlan
vaihtolämpöinen;cold-blooded;váltóhőmérsékletű
horros;lethargy;letargia
kuristaa;to strangle;megfojtani
myrkkykäärme;venomous snake;mérgeskígyó
kuristajakäärme;constrictor;kígyófogó
saalis;prey;zsákmány
paikoiltaan irtoavat leuat;loose jaws;mozgatható állkapcsok
käärmeennahka;snake skin;kígyóbőr
uusia nahkansa;to shed its skin;ledobja a bőrét
luoda nahka;to molt;vedleni
kaksihaarainen kieli;forked tongue;villás nyelv
terraario;terrarium;terrárium
irrottaa häntä;to shed tail;lefogja a farkát
talvihorros;hibernation;téli álom
koiras;male;hím
naaras;female;nőstény
