Finnish;English;Hungarian
Kesäkuulumiset;Summer news;Nyári hírek
Mitä sinä teit kesällä?;What did you do in the summer?;Mit csináltál nyáron?
Väritä sanapilvestä sanoja, jotka kuvaavat parhaiten sinun kesääsi;Color the words from the word cloud that best describe your summer;Színezd ki a szavakat a szófelhőből, amelyek a legjobban leírják a nyaradat.
Voit myös käyttää sanoja lauseissa, ja kirjoittaa muistiin kesämuistosi;You can also use the words in sentences and write down your summer memories;Használhatod a szavakat mondatokban is, és leírhatod a nyári emlékeidet.
aurinko;sun;nap
uimaranta;beach;strand
heinä;hay;széna
perhonen;butterfly;pillangó
ukkonen;thunderstorm;zivatar
veneily;boating;csónakázás
leikkipuisto;playground;játszótér
telttailu;camping;sátorozás
eväsretki;picnic;piknik
vesilelu;water toy;vízi játék
hiekkalinna;sandcastle;homokvár
kirje;letter;levél
juhlat;celebrations;ünnepek
kukkaniitty;flower meadow;virágos rét
sukellus;diving;búvárkodás
radio;radio;rádió
sateenkaari;rainbow;szivárvány
pyöräily;cycling;biciklizés
maauimala;outdoor swimming pool;szabadtéri uszoda
paistaminen;baking (sunbathing);sütés (napozás)
kalliot;cliffs;sziklák
yhteislaulu;sing-along;közös éneklés
keinu;swing;hinta
pilvet;clouds;felhők
aamunelle;morning glow;reggeli fény
sauna;sauna;szauna
aurinkolasit;sunglasses;napszemüveg
tähti;star;csillag
kuutamo;moonlight;holdfény
kirjast;library;könyvtár
järvi;lake;tó
metsät;forests;erdők
kuuma;hot;forró
viileä;cool;hűvös
kallio;rock;szikla
heinä;hay;széna
kirkas;bright;fényes
korttipeli;card game;kártyajáték
postipaketti;mail package;postai csomag
raparperi;rhubarb;rebarbara
puutarha;garden;kert
mansikka;strawberry;eper
asfaltti;asphalt;aszfalt
yölämpö;night warmth;éjszakai meleg
tori;market;piac
majakka;lighthouse;világítótorony
vettä;water;víz
vesisade;rain;eső
ilta;evening;este
hymy;smile;mosoly
uni;sleep;alvás
täyteläinen;rich (in flavor);gazdag (ízben)
sanakaita;word clouds;szófelhők
merenranta;seaside;tengerpart
