Finnish;English;Hungarian
Minä osaan ajaa autoa.; I can drive a car (I know how).; Tudok autót vezetni (megtanultam).
Minä voin ajaa autoa.; I can drive a car (I am able, nothing stops me).; Tudok autót vezetni (semmi nem akadályoz).
Minä saan ajaa autoa.; I can drive a car (I'm allowed, I have a license).; Vezethetek autót (van engedélyem).
Minä en osaa ajaa autoa.; I can't drive a car (I never learned).; Nem tudok autót vezetni (nem tanultam meg).
Minä en voi ajaa autoa.; I can't drive a car (I broke my leg, or no car available).; Nem tudok autót vezetni (fizikailag lehetetlen).
Minä en saa ajaa autoa.; I can't drive a car (I'm not allowed).; Nem vezethetek autót (nincs engedélyem).
Minä osaan uida.; I can swim (I know how).; Tudok úszni (megtanultam).
Minä voin uida.; I can swim (I am able now, unrestricted).; Tudok úszni (semmi nem akadályoz).
Minä saan uida.; I can swim (I'm allowed, my mom said yes).; Úszhatok (megengedte valaki).
Minä en osaa uida.; I can't swim (I never learned).; Nem tudok úszni (nem tanultam meg).
Minä en voi uida.; I can't swim (I don't have a swimsuit, or there's no pool).; Nem tudok úszni (nincs rá lehetőség).
Minä en saa uida.; I can't swim (I'm not allowed, e.g. teacher said no).; Nem úszhatok (tilos).
Minä osaan soittaa kitaraa.; I can play the guitar (I know how).; Tudok gitározni (megtanultam).
Minä voin soittaa kitaraa.; I can play the guitar (I have the guitar here, nothing prevents me).; Tudok gitározni (most megtehetem).
Minä saan soittaa kitaraa.; I can play the guitar (I'm allowed, parents said yes).; Gitározhatok (engedélyt kaptam).
Minä osaan lentää lentokonetta.; I can fly a plane (I have the skill, I trained).; Tudok repülőt vezetni (megtanultam).
Minä voin lentää lentokonetta.; I can fly a plane (there's a plane available and I'm fit to do it).; Tudok repülőt vezetni (lehetőségem van).
Minä saan lentää lentokonetta.; I can fly a plane (I have a pilot's license).; Repülhetek (engedélyem van).
