Finnish;English;Hungarian
Kirjallisuus;Literature;Irodalom
fantasiakirjallisuus;fantasy literature;fantasy irodalom
kaunokirjallisuus;fiction;szépirodalom
käännöskirjallisuus;translated literature;fordított irodalom
lastenkirjallisuus;children books;gyermekirodalom
nuortenkirjallisuus;youth books;ifjúsági irodalom
näytelmäkirjallisuus;dramatic literature;drámairodalom
rikoskirjallisuus;crime fiction;bűnügyi irodalom
tieteiskirjallisuus;science fiction;tudományos-fantasztikus irodalom (sci-fi)
tietokirjallisuus;non-fiction;szakirodalom
viihdekirjallisuus;light reading;szórakoztató irodalom
Julkaiseminen;Publication;Kiadás
julkaista;to publish;kiadni
julkaisu;publication;kiadvány
kirjailija;writer;író
kirjapaino;printing shop;nyomda
julkaisusuunnitelma;publishing plan;kiadási terv
kustannusyhtiö;publishing company;kiadóvállalat
kustantaja;publisher;kiadó (személy)
kustantamo;publishing house;kiadó (intézmény)
käsikirjoitus;manuscript;kézirat
oikolukija;proofreader;korrektor
omakustanteinen;at own cost;önköltséges
painos;edition;kiadás (példányszám)
rojaltimaksu;royalty;jogdíj
toimittaja;editor;szerkesztő
työstää käsikirjoitusta;to work on a script;kéziratot kidolgozni
Analyysin termejä;Analysis terminology;Elemzési kifejezések
aihe, teema;subject, theme;tárgy, téma
alkusointu / alkusointi;alliteration;alliteráció
analysoida;to analyse;elemezni
antiteesi;antithesis;antitézis
eufemismi;euphemism;eufemizmus
huipentuma;climax;tetőpont
humoristinen;humorous;humoros
ilmaisukeino;means of expression;kifejezőeszköz
juoni;plot;cselekmény
kerronta;narrative;elbeszélés
kertoja;narrator;elbeszélő
kertomus;narration;történetmesélés
käännekohta;turning point;fordulópont
loppusointu;rhyme;rím
näkökulma;point of view;narratív nézőpont (irodalmi)
parallelismi;parallelism;párhuzamosság
personifikaatio;personification;megszemélyesítés
päähenkilö;protagonist;főszereplő
rakenne;structure;szerkezet
ristiriita;conflict;konfliktus
runon mitta;measure of a poem;versmérték
sananheitto;ellipsis;kihagyás (ellipszis)
sivumerkitys;connotation;mellékjelentés
tapahtumasarja;series of events;eseménysorozat
tarina;story;történet
tulkinta;interpretation;értelmezés
vertauskuva;metaphor;metafora
vuoropuhelu;dialogue;párbeszéd
