Finnish;English;Hungarian
Ongelmia;Problems;Problémák
varo!;watch out!;Vigyázz!
apua!;help!;Segítség!
tulipalo!;fire!;Tűz!
varas!;thief!;Tolvaj!
poliisi;police;Rendőrség
ambulanssi;ambulance;Mentő
vaara;danger;Veszély
seis;stop;Állj
huomio!;attention!;Figyelem!
rikki;broken;Törött
epäkunnossa;out of order;Nem működik
kielletty;forbidden (pic);Tilos
suljettu;closed;Zárva
eksynyt;lost;Elveszett
mene pois!;go away!;Menj el!
en ymmärrä;I don't understand;Nem értem
Kohtelias;Polite;Udvarias
hei / moi;hello;Szia
anteeksi;sorry;Bocsánat
kyllä / joo;yes;Igen
ei;no;Nem
kiitos;thank you;Köszönöm
ei kiitos;no thank you;Nem köszönöm
hetkinen;just a moment;Egy pillanat
ole hyvä;here you are;Parancsolj
onneksi olkoon;congratulations;Gratulálok
hauska tutustua;nice to meet you;Örülök, hogy megismertelek
Kylttejä;Signs;Táblák
myydään;for sale;Eladó
vuokrataan;for rent;Kiadó
varattu;reserved;Foglalt
vapaa;free;Szabad
ilmainen;free of charge (pic);Ingyenes
sisään;entrance "in" (pic);Bejárat
ulos;exit "out";Kijárat
varauloskäynti;emergency exit;Vészkijárat
ei sisäänkäyntiä;no entry;Belépni tilos
ale;sales;Akció
hissi;elevator (pic);Lift
rullaportaat;escalator;Mozgólépcső
taksi;taxi;Taxi
avoinna ma-pe;open Mon-Fri;Nyitva H-P
suljettu la-su;closed Sat-Sun;Zárva Szo-V
vedä;pull;Húzd
työnnä;push;Nyomd
loppuunmyynti;final sales;Végkiárusítás
loppuunmyyty;sold out;Elfogyott
vuoronumero;queue number;Sorszám
WC N;ladies bathroom;Női WC
WC M;men's bathroom;Férfi WC
tervetuloa;welcome;Üdvözöljük
läpikulku kielletty;no thoroughfare;Átjárás tilos
Kysymyksiä;Questions;Kérdések
Missä hotelli Sokos on?;Where is the Sokos hotel?;Hol van a Sokos szálloda?
Missä Itsenäisyydenkatu on?;Where is the street Itsenäisyydenkatu?;Hol van az Itsenäisyydenkatu utca?
Missä sairaala on?;Where is the hospital?;Hol van a kórház?
Missä vessa on?;Where is the toilet?;Hol van a WC?
Missä naisten vessa on?;Where is the ladies toilet?;Hol van a női WC?
Missä miesten vessa on?;Where is the men's toilet?;Hol van a férfi WC?
Entä muuta?;Do you want anything else?;Kérsz még valamit?
Kuittia?;Do you want the receipt?;Kell a blokk?
Mitä saisi olla?;What would you like?;Mit szeretne?
Minkämaalainen sinä olet?;What nationality are you?;Milyen nemzetiségű vagy?
Puhutko englantia?;Do you speak English?;Beszélsz angolul?
Voisitko puhua englantia?;Could you speak English?;Tudna angolul beszélni?
Puhuuko kukaan täällä englantia?;Does anyone speak English here?;Beszél itt valaki angolul?
Voisitko kirjoittaa sen ylös?;Could you write that down?;Le tudná írni?
Voisitko toistaa?;Could you please repeat that?;Meg tudná ismételni?
Voisitko auttaa minua?;Could you help me?;Tudna segíteni nekem?
Mitä kuuluu?;How are you?;Hogy vagy?
Oletko kunnossa?;Are you okay?;Rendben vagy?
Onko tämä paikka vapaa?;Is this spot free?;Ez a hely szabad?
Missä saan tupakoida?;Where am I allowed to smoke?;Hol lehet dohányozni?
Saisinko vettä?;Could I get some water?;Kaphatok vizet?
Paljonko se maksaa?;How much does it cost?;Mennyibe kerül?
