Finnish;English;Hungarian
alaikäinen;underage, minor (child);kiskorú, kiskoros
epätasainen;uneven, bumpy, rugged (terrain);egyenetlen, göröngyös, tagolt
epätäydellinen;imperfect, incomplete (memory);hiányos, tökéletlen
epäolennainen;irrelevant (question);lényegtelen, nem releváns
heikkotehoinen;low-powered (system);gyenge teljesítményű
huonokuuloinen;hard of hearing (person);sérült hallású
huonolaatuinen;poor quality (product);gyenge minőségű
kasvipohjainen;plant-based (food);növényi alapú
keskiluokkainen;middle class (upbringing);középosztálybeli
korkealaatuinen;high quality (education);magas minőségű
korkeapaineinen;high-pressure (air);nagy nyomású
kovakantinen;hardbound, hardcover (book);keményborítós
kuumaverinen;passionate, hot-blooded (person);forróvérű
lyhythihainen;short-sleeved (shirt);rövid ujjú
matalapaineinen;low-pressure (gas);alacsony nyomású
monikulttuurinen;multicultural (society);többkultúrájú
monivaiheinen;multiphase (plan);többlépcsős
nopeatahtinen;fast-paced (movie);gyors tempójú
nopealiikkeinen;fast moving (opponent);gyors mozgású
normaalipainoinen;normal weight (patient);normál testsúlyú
pienjännitteinen;low-voltage, low-tension;alacsony feszültségű
pitkäaikainen;prolonged, long-time;hosszú távú
pitkähihainen;long-sleeved (shirt);hosszú ujjú
pitkäjalkainen;long-legged (youngster);hosszúlábú
puoliautomaattinen;semi-automatic, self-loading (rifle);félautomata
puolijulkinen;semipublic (secret);félig nyilvános
puolisalainen;semi-secret (meeting);félig titkos
pyöreäkasvoinen;round-faced (child);kerek arcú
pyöreäsilmäinen;round-eyed (puppy);kerek szemű
suklaakuorrutteinen;chocolate coated (cookie);csokimázas
suklaatäytteinen;chocolate filled (cake);csokival töltött
suurjännitteinen;high-voltage (battery);nagyfeszültségű
suurikaliiperinen;large-caliber (weapon);nagy kaliberű
täysautomaattinen;fully-automatic (system);teljesen automata
pitkäaaltoinen;long-wave (radiation);hosszú hullámú
ylipainoinen;overweight (person);túlsúlyos
ansiosidonnainen;bound / proportional to income (pension);jövedelemhez kötött
asiapainotteinen;fact-oriented, focusing on facts (text);tényközpontú
edestakainen;back and forth (movement);előre-hátra mozgó
ennakkoluuloinen;biased, prejudiced (view);előítéletes
epäuskoinen;incredulous, unbelieving, skeptical (person);hitetlen
epäyhtenäinen;disjointed, disordered, heterogenous (team);összetett, nem egységes
etukäteinen;advance, prior (payment);előre fizetett
harhaluuloinen;delusional (patient);téveszmében szenvedő
heikkohermoinen;nervy, jumpy, highly strung (person);ideges, gyenge idegzetű
helppotajuinen;easily understandable, intelligible (text);könnyen érthető
herkkätunteinen;sensitive, emotionally fragile (child);érzékeny
hidasälyinen;obtuse, slow-witted, dense (idiot);lassú felfogású
hienotunteinen;tactful, considerate, discreet (answer);tapintatos, megfontolt
huono-osainen;disadvantaged (socially / economically);hátrányos helyzetű
hyväkäytöksinen;well-behaved, mannerly (boy);jó modorú
hyvämaineinen;reputable, prestigious (politician);jó hírű
hyväuskoinen;gullible, credulous, simple (customer);jóhiszemű
itsekeskeinen;egocentric, selfish (girl);önző, egocentrikus
kaksikerroksinen;double-decker, two-story (building);két emeletes
kaksiselitteinen;equivocal, explainable in two ways (claim);kétértelmű
kaksiteräinen;double-edged (sword);kettős élű
kallisarvoinen;precious, valuable (present);értékes, drága
keskiaikainen;medieval (discovery);középkori
kolmikerroksinen;three-layer, three-story (house);háromszintes
kotivalmisteinen;homemade (beer);házi készítésű
kovaotteinen;hard-handed, rough (approach);keménykezű
liikkumisrajoitteinen;restricted in mobility (person);mozgáskorlátozott
lujahermoinen;coolheaded, mettlesome (salesperson);higgadt idegzetű
lujaotteinen;heavy-handed, rough (father);erőskezű
lyhytkestoinen;short-lived, temporary (peace);rövid életű
lämpöeristeinen;thermally insulated (building);hőszigetelt
monikerroksinen;multilevel, multistory (mall);többrétegű, többlépcsős
monikäyttöinen;multipurpose (machine);többcélú
monimerkityksinen;polysemantic, with many meanings (word);többjelentésű
monimutkainen;complicated (system);bonyolult
omaleimainen;distinctive, typical (approach);jellegzetes
omarahoitteinen;self-financed (project);saját finanszírozású
pahaenteinen;ominous, sinister, ill-fated (event);baljós
pahamaineinen;notorious, infamous, ill-famed (person);hírhedt
pakkomielteinen;obsessive, manic, compulsive (behavior);kényszeres
pitkävaikutteinen;long-acting, long-lasting (medicin);hosszú hatású
pitkäkestoinen;lengthy, prolonged, sustained (situation);hosszan tartó
puhevikainen;speech impaired (patient);beszédhibás
raskasaseinen;heavy-armed, heavily armed (soldier);nehézfegyverzetű
runsasnesteinen;rich in liquid (fruit);nedves, nedvdús
suoraviivainen;linear, straightforward (solution);egyenes vonalú
suurimerkityksinen;significant, important (decision);jelentős
tehdasvalmisteinen;factory-made, prefabricated (product);gyárilag készült
tietokoneavusteinen;computer-assisted, computer-aided (design);számítógép által segített
täysi-ikäinen;adult (woman);nagykorú
varmaotteinen;sure-handed, confident (professional);biztos kéz
lyhytvaikutteinen;short-acting (drug);rövid hatású
nopeavaikutteinen;fast-acting (injection);gyors hatású
pintapuolinen;superficial, cursory, perfunctory (research);felületes
mielipuolinen;insane (laughter);őrült
taikauskoinen;superstitious (villager);babonás
perhekeskeinen;family-oriented (man);családcentrikus
pitkävihainen;unforgiving, unappeasable (wife);hosszan haragtartó
selvärajainen;clearly defined (methodology);világosan körülhatárolt
suorasanainen;outspoken, blunt, direct (friend);egyértelműen kimondó
tilannesidonnainen;situational, tied to a situation (solution);helyzetfüggő
toissijainen;secondary, lesser (matter);másodlagos
tunnepohjainen;emotional (decision);érzelmi alapú
vaikeakäsitteinen;difficult to understand or conceptualize (topic);nehéz felfogású
vaikeatajuinen;abstract, cryptic (presentation);nehéz értelmezésű
vainoharhainen;paranoid (person);paranoiás
vakavarainen;financially sound (family);anyagilag stabil
vesiohenteinen;water-soluble (paint);vízoldékony
vilkasliikenteinen;traveled, busy, bustling (city);forgalmas
vähäliikenteinen;low-traffic (road);alacsony forgalmú
