Finnish;English;Hungarian
beige;beige;bézs
fuksia;fuchsia;fukszia
harmaa;grey;szürke
hopea;silver;ezüst
keltainen;yellow;sárga
khaki;khaki;khaki
kulta;gold;arany
musta;black;fekete
oranssi;orange;narancssárga
pinkki;pink;rózsaszín
punainen;red;piros
ruskea;brown;barna
sininen;blue;kék
turkoosi;turquoise;türkiz
valkoinen;white;fehér
vihreä;green;zöld
violetti, liila;purple, lilac;lila
vaaleansininen;light blue;világoskék
tummansininen;dark blue;sötétkék
taivaansininen;sky blue;égkék
vauvansininen;baby blue;babarózsaszín
kirkkaansininen;bright blue;ragyogókék
indigosininen;indigo blue;indigókék
vaaleanpunainen;light pink;világosrózsaszín
tummanpunainen;dark red;sötétvörös
tulenpunainen;fiery red;tüzesvörös
viininpunainen;wine red;borvörös
kirsikanpunainen;cherry red;cseresznyepiros
kirkkaanpunainen;bright red;ragyogóvörös
rubiininpunainen;ruby red;rubiavörös
tiilenpunainen;brick red;téglavörös
vaaleanvihreä;light green;világoszöld
tummanvihreä;dark green;sötétzöld
harmaanvihreä;grey-green;szürkészöld
limenvihreä;lime green;limezöld
mintunvihreä;mint green;mentazöld
myrkynvihreä;poison green;méregzöld
oliivinvihreä;olive green;olívazöld
smaragdinvihreä;emerald green;smaragdzöld
vaaleanruskea;light brown;világosbarna
tummanruskea;dark brown;sötétbarna
kastanjanruskea;chestnut red;mogyoróvörös
aprikoosinvärinen;apricot colored;barackszínű
hiekanvärinen;sand colored;homokszínű
kullanruskea;gold-brown;aranybarna
kermanvärinen;cream colored;krémszínű
luumunvärinen;plum colored;szilvaszínű
mandariininvärinen;color of mandarins;mandarinszínű
Ruoho on aina vihreämpää aidan toisella puolella.;The grass is always greener on the other side of the fence., Things always seem to go better for other people.;A fű mindig zöldebb a kerítés másik oldalán.
Rakkaus on aiheuttanut minulle harmaita hiuksia.;Love has caused me grey hairs., Love has caused a lot of trouble and sadness.;A szerelem szürke hajszálakat okozott nekem.
Hän ajoi punaisia päin.;He drove through a red light.;Áthajtott a piros lámpán.
