Finnish;English;hungarian
asunto;dwelling, residence, house, home;ház
asuntoilmoitus;housing advertisement;lakhatási értesítő
myydään;for sale;eladva
vuokrataan;for rent;Kiadó
asuntoesittely;showing of the house;lakásbemutató
esittelyaika;time of the showing, appointment;bemutató ideje
kiinteistönvälittäjä;real estate agent;ingatlanügynök
kiinteistönvälitys;real estate;ingatlan
asuntopula;housing shortage;lakáshiány
huone (h);room;szoba (h)
olohuone (oh);living room;nappali (ó)
makuuhuone (mh);bedroom;hálószoba (nagy hálószoba)
työhuone (työh);office, study;tanulni (dolgozni)
takkahuone (tkh);living room with fireplace;kandallós szoba (tkh)
kylpyhuone (kph);bathroom;fürdőszoba (kph)
sauna (s);sauna;szauna(k)
pesuhuone (ph);washing room;mosdó (ph)
suihkuhuone (sh);shower room;zuhanyzó (sh)
pukuhuone (pkh);dressing room;öltöző (pkh)
keittiö (k);kitchen;konyha (k)
tupakeittiö (tupak, tpk, tk);small kitchen;dohánykonyha (dohány, tpk, tk)
avokeittiö (avok);open kitchen;nyitott konyha (avok)
keittokomero (kk, kt);kitchenette;konyhasarok (hónap, kt)
ruokailuhuone (rh);dining room;étkező (rh)
parveke (pvk, p);balcony;erkély (dvk, p)
lasitettu parveke (las.pvk, lasit.p);glazed balcony;üvegezett erkély (lasit.pvk, lasit.p)
ranskalainen parveke (r.pvk, rp);French balcony;francia erkély (r.pvk, rp)
autotalli (at);garage;garázs (at)
autokatos (ak);car shelter;kocsibeálló (ac)
terassi (ter);terrace;terasz (ter)
eteinen (et);hallway;folyosó(k)
erillinen vessa (wc);toilet;külön WC
kodinhoitohuone (khh);utility room;mosókonyha (khh)
vaatehuone (vh);walk-in closet;öltöző (fent)
siivouskomero (sk, siiv);cleaning closet;takarítószekrény (sk, siiv)
varasto (var);storage room;raktár (var)
Talotyyppi;House type;Ház típusa
omakotitalo;detached house, one family house;városi ház
pienkerrostalo;low apartment building (2-3 floors);kis bérház
kerrostalo;apartment building;bérház
paritalo;semi-detached house;ikerház
rivitalo;row house;teraszos ház
Asumismuoto;Living type;Lakóhely formája
omistusasunto;owner-occupied home;tulajdonú lakás
vuokra-asunto;rented home;bérlakás
asumisoikeusasunto;right of occupancy housing;lakhatási jogú lakás
vapaarahoitteinen;rentable by anyone;önfinanszírozott
