Finnish;English;Hungarian
Suomen sodat;Finnish wars;finn háborúk
ensimmäinen maailmansota;First World War;első világháború
jatkosota;Continuation War;folytatólagos háború
Suomen sisällissota;Finnish Civil War;finn polgárháború
talvisota;Winter War;téli háború
toinen maailmansota;Second World War;második világháború
Sodan luokittelua;War classification;háborúk típusai
ekonominen sota;economic warfare;gazdasági háború
hyökkäyssota;war of aggression;támadó háború
irtautumissota;war of liberation;felszabadító háború
itsenäisyyssota;war of independence;függetlenségi háború
kansansota;people's war;népi háború
maailmansota;global war;világháború
siirtomaasota;colonial war;gyarmati háború
sijaissota;proxy war;helyettesítő háború
sissisota;guerrilla warfare;gerillaháború
sisällissota;civil war;polgárháború
uskonnollinen sota;religious war;vallásháború
ydinsota;nuclear war;atomháború
Armeija;Army;hadsereg
aseeton palvelu;unarmed service;fegyvertelen szolgálat
aseistakieltäytyjä;draft resister;lelkiismereti okból megtagadó
asevelvollisuus;conscription;sorkatonai kötelezettség
divisioona;division;hadosztály
esikunta;headquarters staff;törzskar
joukkue;squad;raj
komppania;company;század
laivasto;naval forces;tengerészet
lennosto;air force;légierő
maavoimat;ground forces;szárazföldi haderő
panssarijoukot;armored troops;páncélos csapatok
pataljoona;battalion;zászlóalj
pioneerijoukot;engineering troops;műszaki csapatok
siviilipalvelu;civil service;polgári szolgálat
siviilipalvelumies;conscientious objector;polgári szolgálatos
sotaväki;armed forces;fegyveres erők
sotilaskuri;military discipline;katonai fegyelem
sotilaskoti;soldiers' canteen;katonai klub
Aseet;Weapons;fegyverek
ilmatorjunta;air defence;légvédelem
kivääri;rifle;puskafegyver
konekivääri;machine gun;géppuska
konepistooli;submachine gun;géppisztoly
käsikranaatti;hand grenade;kézigránát
miina;land mine;akna
ohjus;missile;rakéta
pistin;bayonet;szurony
pistooli;handgun;pisztoly
pommi;explosive bomb;bomba
rynnäkkökivääri;assault rifle;rohampuska
sinko;rocket launcher;páncéltörő fegyver
tykistö;artillery arm;tüzérség
tykki;cannon;ágyú
täsmäase;precision weapon;precíziós fegyver
ydinase;nuclear weapon;atomfegyver
ydinkärki;nuclear warhead;nukleáris robbanófej
ydinpommi;atomic bomb;atomtöltet
Verbejä;Verbs;igék
sotia;to wage war;háborúzni
haavoittua;to be injured;megsebesülni
kaatua;to fall in battle;elesni
kuolla;to perish;meghalni
voittaa;to prevail;győzni
hävitä;to suffer defeat;veszíteni
piirittää;to besiege;körülzárni
valloittaa;to conquer;meghódítani
miehittää;to occupy territory;megszállni
vetäytyä;to retreat;visszavonulni
antautua;to capitulate;megadni magát
torjua hyökkäys;to repel an attack;támadást visszaverni
solmia rauha;to conclude peace;békét kötni
neuvotella;to bargain;tárgyalni
Strategia;Strategy;stratégia
hyökkäys;offensive;offenzíva
liikekannallepano;mobilisation;mozgósítás
puolustus;defence;védelem
sotarintama;front line;harcvonal
taistelu;combat;ütközet
taisteluhauta;trench;lövedékárok
taktiikka;tactical approach;taktika
vetäytyminen;withdrawal;visszavonulás
Ihmisiä;People;személyek
alokas;new recruit;újonc
amiraali;admiral;tengernagy
eversti;colonel;ezredes
kapteeni;captain;százados
kenraali;general;tábornok
kersantti;sergeant;őrmester
kommodori;commodore;kommodor
korpraali;corporal;tizedes
luutnantti;first lieutenant;főhadnagy
majuri;major;őrnagy
matruusi;sailor;matróz
miinanraivaaja;mine clearer;aknaszedő
palkkasoturi;mercenary;zsoldos
pursimies;boatswain;fedélzetmester
sissi;guerrilla fighter;gerillaharcos
sotakiihkoilija;war zealot;háborús fanatikus
sotilas;trooper;katona
sotilasmestari;warrant officer;tiszthelyettes
vänrikki;second lieutenant;hadnagy
vääpeli;sergeant major;törzsőrmester
ylipäällikkö;commander-in-chief;főparancsnok
Rauha;Peace;béke
aseistariisunta;disarmament;leszerelés
liennytys;detente;enyhülés
rauhanaate;pacifism;pacifizmus
rauhanehdot;peace conditions;béke feltételei
rauhanjärjestö;peace organization;békeszervezet
rauhanneuvottelut;peace talks;békekötési tárgyalások
rauhansopimus;peace treaty;békeszerződés
rauhanturvajoukot;peacekeeping forces;békefenntartó csapatok
