Finnish;English;Hungarian
Kela;Finnish social insurance institution;finn társadalombiztosítási hivatal
kansaneläke;social insurance / national pension;állami társadalombiztosítás / nemzeti nyugdíj
kansaneläkelaitos;social insurance institution;társadalombiztosítási intézmény
sosiaaliturva;social security;szociális biztonság
sosiaaliturvalaitos;social security institution;szociális ellátó intézmény
hyvinvointi;welfare;jólét
hyvinvointivaltio;welfare state;jóléti állam
elintaso;standard of living;életszínvonal
työttömyys;unemployment;munkanélküliség
työttömyysturva;unemployment security;munkanélküli-ellátás rendszere
asumistuki;housing allowance;lakhatási támogatás
avioliittoneuvola;marriage guidance center;házassági tanácsadó
eläkeläinen;pensioner;nyugdíjas
eläkerahasto;pension fund;nyugdíjalap
esikoulu, eskari;preschool;óvoda-előkészítő
hakemus;application;kérelem
hammashoito;dental care;fogászati ellátás
henkilötunnus;identity number;személyi azonosító szám
isyysloma;paternity leave;apasági szabadság
jono;queue;sor
jäädä eläkkeelle;to retire;nyugdíjba vonulni
kelakortti;social security card;társadalombiztosítási kártya
kodinhoidon tuki;home care allowance;otthongondozási támogatás
korvaus;compensation;kártérítés
kunnallinen;municipal;önkormányzati
lapsilisä;child benefit;családi pótlék
lastenneuvola;child health center;gyermek-egészségügyi tanácsadó
lastentarha;kindergarten;óvoda
lausunto;statement (official);szakvélemény
lomake;form;űrlap
myönnetty;approved;jóváhagyott
odotusaika;waiting period;várakozási idő
omavastuu;deductible;önrész
opintotuki;student financial aid;tanulmányi támogatás
osa-aikaeläke;partial pension;résznyugdíj
palvelu;service;szolgáltatás
perhepäivähoito;family day care;családi napközi
psykoterapia;psychotherapy;pszichoterápia
päivähoito;day care;nappali ellátás
päiväraha;daily allowance;napi járadék
päätös;decision;határozat
sairausvakuutus;health insurance;egészségbiztosítás
todistus;certificate;igazolás
tuki;support / aid;támogatás
turvakoti;shelter;menedékház
työkyvyttömyyseläke;disability pension;rokkantsági nyugdíj
työttömyyskorvaus;unemployment benefit;munkanélküli segély
valitusoikeus;right to appeal;fellebbezési jog
vanhempainloma;parental leave;szülői szabadság
äitiysavustus;maternity benefit;anyasági támogatás
äitiysloma;maternity leave;anyasági szabadság
äitiyspakkaus;maternity package;babatámogatási csomag
Sinun täytyy täyttää lomake.;You must complete the form.;Ki kell töltened az űrlapot.
Käsittelyaika on kolme viikkoa.;The processing time is three weeks.;Az ügyintézési idő három hét.
Päätös tulee postissa kotiin.;The decision will be sent by mail to your home.;A határozat postán érkezik az otthonodba.
Hakemus on vireillä.;The application is under review.;A kérelem elbírálás alatt van.
Tarvitsen tulkin Kelassa.;I need an interpreter at Kela.;Tolmácsra van szükségem a Kelánál.
Kela hyväksyi hakemukseni.;Kela approved my application.;A Kela jóváhagyta a kérelmemet.
Sain myönteisen päätöksen.;I received a favorable decision.;Pozitív döntést kaptam.
Sain kielteisen päätöksen.;I received a negative decision.;Elutasító döntést kaptam.
Kela hylkäsi hakemukseni.;Kela rejected my application.;A Kela elutasította a kérelmemet.
Aion käyttää valitusoikeutta.;I intend to exercise my right to appeal.;Élni fogok a fellebbezési jogommal.
Aion jättää valituksen.;I plan to submit an appeal.;Be fogok nyújtani egy fellebbezést.
Haluan valittaa päätöksestä.;I want to appeal against the decision.;Szeretnék fellebbezni a döntés ellen.

