French;Finnish;Hungarian
MON;minun (mask.);az én (fiú)
TON;sinun (mask.);a te (fiú)
SON;hänen (mask.);az ő (fiú)
NOTRE;meidän (mask. / fem.);a mi (fiú / lány)
VOTRE;teidän (mask. / fem.);a ti (fiú / lány)
LEUR;heidän (mask. / fem.);az ő (többes, fiú, lány)
MA;minun (fem.);az én (lány)
TA;sinun (fem.);a te (lány)
SA;hänen (fem.);az ő (lány)
TON adresse;sinun osoitteesi; a te címed
SON école;hänen koulunsa; az ő iskolája
MES;minun (mon.);az én (többes)
TES;sinun (mon.);a te (többes)
SES;hänen (mon.);az ő (többes)
NOS;meidän (mon.);a mi (többes)
VOS;teidän (mon.);a ti (többes)
LEURS;heidän (mon.);az ő (többes szám)
mon ami;minun ystäväni (mies);az én barátom (fiú)
ton ami;sinun ystäväsi (mies);a te barátod (fiú)
son ami;hänen ystävänsä (mies);az ő barátja (fiú)
notre ami;meidän ystävämme (mies);a mi barátunk (fiú)
votre ami;teidän ystävänne (mies);a ti barátotok (fiú)
leur ami;heidän ystävänsä (mies);az ő barátjuk (fiú)
mon amie;minun ystäväni (nainen);az én barátnőm (lány)
ta amie;sinun ystäväsi (nainen);a te barátnőd (lány)
sa amie;hänen ystävänsä (nainen);az ő barátnője (lány)
notre amie;meidän ystävämme (nainen);a mi barátnőnk (lány)
votre amie;teidän ystävänne (nainen);a ti barátnőtök (lány)
leur amie;heidän ystävänsä (nainen);az ő barátnőjük (lány)
mes amis;minun ystäväni (miehet);az én barátaim (fiúk)
tes amis;sinun ystäväsi (miehet);a te barátaid (fiúk)
ses amis;hänen ystävänsä (miehet);az ő barátai (fiúk)
nos amis;meidän ystävämme (miehet);a mi barátaink (fiúk)
vos amis;teidän ystävänne (miehet);a ti barátaitok (fiúk)
leurs amis;heidän ystävänsä (miehet);az ő barátaik (fiúk)
mes amies;minun ystäväni (naiset);az én barátnőim (lányok)
tes amies;sinun ystäväsi (naiset);a te barátnőid (lányok)
ses amies;hänen ystävänsä (naiset);az ő barátnői (lányok)
nos amies;meidän ystävämme (naiset);a mi barátnőink (lányok)
vos amies;teidän ystävänne (naiset);a ti barátnőitek (lányok)
leurs amies;heidän ystävänsä (naiset);az ő barátnőik (lányok)
mon père;minun isäni;az én apám (fiú)
ton père;sinun isäsi;a te apád (fiú)
son père;hänen isänsä;az ő apja (fiú)
notre père;meidän isämme;a mi apánk (fiú)
votre père;teidän isänne;a ti apátok (fiú)
leur père;heidän isänsä;az ő apjuk (fiú)
ma mère;minun äitini;az én anyám (lány)
ta mère;sinun äitisi;a te anyád (lány)
sa mère;hänen äitinsä;az ő anyja (lány)
notre mère;meidän äitimme;a mi anyánk (lány)
votre mère;teidän äitinne;a ti anyátok (lány)
leur mère;heidän äitinsä;az ő anyjuk (lány)7
de;-sta / -stä;-ból / -ből
du [de + le = du];jonkin (mask.);-nak a (fiú)
de la;jonkin (fem.);-nak a (lány)
de l';jonkin (vokaalilla alkava sana);-nak az (hanggal kezdődő szó)
des [de + les = des];joidenkin;-nak a (többes)
la boutique de Mariam;Mariam'n kauppa;Mariam boltja
une rue de Paris;Pariisin katu;Párizs utcája
les qualités du produit;tuotteen ominaisuudet;a termék tulajdonságai
le nom de la boutique;kaupan nimi;az üzlet neve
l'adresse de l'entreprise;yrityksen osoite;a vállalat címe
les noms des étudiants;opiskelijoiden nimet;a diákok nevei
