Finnish;English;Hungarian
öljy;oil;olaj
ruokaöljy;cooking oil;étolaj
auringonkukkaöljy;sunflower oil;napraforgóolaj
avokadoöljy;avocado oil;avokádóolaj
ekstra-neitsytoliiviöljy;extra virgin olive oil;extraszűz olívaolaj
hasselpähkinäöljy;hazelnut oil;mogyoróolaj (törökmogyoró)
kasviöljy;vegetable oil;növényi olaj
kookosöljy;coconut oil;kókuszolaj
kylmäpuristettu öljy;cold-pressed oil;hidegen sajtolt olaj
maissiöljy;corn oil;kukoricaolaj
maapähkinäöljy;groundnut oil;földimogyoró-olaj
manteliöljy;almond oil;mandulaolaj
maustettu öljy;flavoured oil;ízesített olaj
oliiviöljy;olive oil (extra virgin etc);olívaolaj
pellavansiemenöljy;flaxseed oil;lenmagolaj
puhdistamaton kookosöljy;unrefined coconut oil;finomítatlan kókuszolaj
puhdistettu maapähkinäöljy;refined peanut oil;finomított mogyoróolaj
rypsiöljy, rypälesiemenöljy;rapeseed oil;repceolaj
saksanpähkinäöljy;walnut oil;dióolaj
seesaminsiemenöljy;sesame seed oil;szezámolaj
aioli;aioli;aioli
balsamiviinietikka;balsamic vinegar;balzsamecet
dippauskastike, dippi, dippikastike;dip, dipping sauce;mártogatószósz
etikka;vinegar;ecet
gochujang;gochujang;gochujang
grillauskastike, grillikastike;barbecue sauce;barbecueszósz (grillszósz)
guacamole;guacamole;guacamole
hapanimeläkastike;sweet-and-sour sauce;édes-savanyú szósz
harissa;harissa;harissza
HP-kastike;HP Sauce;HP szósz
hummus;hummus;humusz
kalakastike;fish sauce;halszósz
ketsuppi;ketchup;paradicsomszósz (ketchup)
majoneesi;mayonnaise;majonéz
mallasetikka;malt vinegar;malátaecet
omenaviinietikka;cider vinegar;almaecet
remoulade-kastike;remoulade;remulád
Sambal-kastike;Sambal;szambal
salaattikastike, salaatinkastike;salad dressing;saliátaöntet
salsa;salsa;salsa
sinappi;mustard;mustár
soijakastike;soy sauce;szójaszósz
sriracha-kastike;sriracha sauce;sriracsa szósz
tabasco;tabasco;tabasco
tahini;tahini;tahini (szezámpaszta)
tartarkastike, tartarinkastike;tartar sauce;tartármártás
teriyakikastike;teriyaki sauce;teriyaki szósz
tomaattiketsuppi;tomato ketchup;paradicsomketchup
tsatsiki;tzatziki;caciki
viinietikka;wine vinegar;borecet
worchesterkastike, worcestershirekastike;worcestershire sauce;worcester szósz
Worcestershire -kastike;Worcestershire sauce;worcestershire szósz
öljypohjainen salaattikastike;oil-based salad dressing;olajos öntet
appelsiinikastike;orange sauce;naranccsszósz
aprikoosikastike;apricot sauce;sárgabarackmártás
béarnaisekastike, bearninkastike;béarnaise sauce;béarni mártás
béchamelkastike, valkokastike;béchamel sauce;besamelmártás
bolognankastike, bolognesekastike;bolongese pasta sauce;bolognai szósz
chilikastike;chili sauce, hot sauce;csípős chili szósz
chutney, chutneykastike;chutney;csatni szósz
currykastike, karrikastike;curry sauce;curryszósz
etikkakastike;vinegar sauce;ecetes szósz
gratiinikastike, gratinointikastike;gratin sauce;gratinmártás
(herkku)sienikastike;mushroom sauce;gombamártás
hollandaisekastike, hollanninkastike;hollandaise sauce;hollandimártás
hollantilainen / muna kastike;hollandaise (sauce);hollandi(mártás)
jauhelihakastike;minced meat sauce;darált húsos szósz
jauheliha-tomaattikastike;bolognese sauce;darált húsos-paradicsomszósz
juustokastike;cheese sauce;sajtmártás
katkarapukastike;shrimp sauce;rákszósz
kermakastike;cream sauce;tejszínes mártás
läskisoosi, sianlihakastike;pork sauce;sertésszósz
madeirakastike;madeira sauce;madeiramártás
makkarakastike;sausage sauce;kolbászszósz
marinointikastike;marinade;pácszósz
marinadi, marinadikastike;marinade sauce;marinád
pastakastike;pasta sauce;tésztaszósz
pesto, pestokastike;pesto;pesto
pippurikastike;peppercorn sauce;borsmártás
punaviinikastike;red wine sauce;vörösboros mártás
ranskalainen salaatinkastike;vinaigrette;vinaigrette
Rhode Island -kastike;Rhode Island sauce;Rhode Island szósz
ruskea kastike;brown sauce;barna mártás
tomaatti- ja basilikakastike;tomato and basil sauce;paradicsomos-bazsalikomos szósz
voi(-valkoviini)kastike;beurre blanc;vaj-fehérbor mártás
sinappikastike;mustard sauce;mustármártás
sipulikastike;onion gravy;hagymamártás
sitruunakastike;lemon sauce;citrommártás
kalakeitto;fish soup;halászlé (halleves)
borssikeitto;borscht;borscsleves
gazpacho;gazpacho;gazpacho
kasvissosekeitto;vegetable puree soup;zöldségpüréleves
herkkusienikeitto;mushroom soup;gombaleves
hernekeitto, hernesoppa;pea soup;borsóleves
juliennekeitto;soup julienne;julienne leves
juustokeitto;cheese soup;sajtleves
kaalikeitto;cabbage soup;káposztaleves
kanakeitto;chicken soup;csirkeleves
kasviskeitto, vihanneskeitto;vegetable soup;zöldségleves
tomaattikeitto;tomato soup;paradicsomleves
sosekeitto;cream soup;krémleves
kesäkeitto;"summer soup";nyárileves
sipulikeitto;onion soup;hagymaleves
linssikeitto;lentil soup;lencseleves
lohikeitto;salmon soup;lazacleves
madekeitto;burbot soup;menyhalleves
makkarakeitto;sausage soup;kolbászleves
siskonmakkarakeitto;siskonmakkara soup;virslileves
minestronekeitto;minestrone soup;minesztrone
misokeitto;miso soup;miso leves
papukeitto;bean soup;bableves
papurokko, papusoppa;pea soup (other word);borsóleves (más néven)
parsakaalikeitto;broccoli soup;brokkolileves
parsakeitto;asparagus soup;spárgaleves
pinaattikeitto;spinach soup;spenótleves
porkkanasosekeitto;carrot puree soup;répás krémleves
ramenkeitto;ramen soup;ramen leves
rapukeitto;crab soup;rákleves
pussikeitto;instant package soup;tasakleves (instantleves)
liemi;broth, stock;alaplé
kirkas liemi;clear broth;húsleves (tiszta alaplé)
