Finnish;English;Hungarian
100 vuotta sitten;100 years ago;100 évvel ezelőtt
jumalanpalvelus;church service;istentisztelet
ketjuuntua;to form a chain / to become part of a chain;láncba szerveződni
Nykyisin radiokanavat ovat ketjuuntuneet;Nowadays radio stations have formed networks;Manapság a rádióállomások hálózatokba szerveződtek
sama omistaja, useita kanavia;the same owner, several channels;ugyanaz a tulajdonos, több csatorna
kidekone;crystal radio / crystal receiver;kristálydetektoros rádió
kuljettaa viesti;to carry a message;üzenetet továbbítani
kuulokkeet;headphones;fejhallgató
kylmän sodan radio;Cold War radio;hidegháborús rádió
langaton;wireless;vezeték nélküli
lähettää ohjelmaa;to broadcast a programme;műsort sugározni
mainos;advertisement;reklám
mainokset;all advertisements;reklámok
mainoksia;part of advertisements;reklámokat
musiikkia;music;zenét
paikallinen radiokanava;local radio channel / station;helyi rádiócsatorna / rádióállomás
paikallisradio;local radio;helyi rádió
kuuluu vain tietyllä alueella;can only be heard in a certain area;csak egy bizonyos területen hallható
piraattiradio;pirate radio;kalózrádió
laiton radioasema;illegal radio station;illegális rádióállomás
ei ole lupaa toimia;does not have a licence to operate;nincs működési engedélye
podcast;podcast;podcast
valmiiksi nauhoitettu ohjelma;pre-recorded programme;előre felvett műsor
putkiradio;valve radio / tube radio;csöves rádió
radio 957 Tampereella;Radio 957 in Tampere;Radio 957 Tamperében
radio Moreeni;Radio Moreeni;Radio Moreeni
radioaalto;radio wave;rádióhullám
radioaallot;radio waves;rádióhullámok
radioamatööri;radio amateur / amateur radio operator;rádióamatőr
radioiden harrastaja;radio enthusiast;rádiózás iránt érdeklődő / rádióamatőr
radioasema;radio station;rádióállomás
radiokanava;radio channel / station;rádiócsatorna / rádióállomás
kaupallinen radiokanava;commercial radio channel / station;kereskedelmi rádiócsatorna / rádióállomás
radio-ohjelman välissä on mainoksia;there are advertisements between radio programmes;reklámok vannak a rádióműsorok között
kanava saa rahaa;the channel receives money;a csatorna pénzt kap
mainostaja maksaa, että saa mainoksen radioon;the advertiser pays to have an advertisement broadcast on the radio;a hirdető fizet azért, hogy reklámja megjelenjen a rádióban
radio-ohjelma;radio programme;rádióműsor
radiovastaanotin;radio receiver;rádióvevő
rintamaradio;front-line radio;frontrádió / frontvonalbeli rádió
radioasema sotarintamalla;radio station at the front;rádióállomás a fronton
sähkötys;telegraphy;telegráfia
taustaääni;background sound / background noise;háttérhang / háttérzaj
urheilu;sports;sport
uutiset;news;hírek
vapaaehtoisvoimin;through voluntary efforts / on a voluntary basis;önkéntes munkával / önkéntes alapon
tehdä jotakin vapaaehtoisvoimin;to do something on a voluntary basis;valamit önkéntes alapon csinálni
tehdä jotakin niin, että siitä ei makseta palkkaa ja ihmiset tekevät sitä vapaaehtoisesti;to do something without being paid and because people volunteer to do it;valamit úgy csinálni, hogy nem fizetnek érte, és az emberek önként végzik
viestintäväline;means of communication / communication medium;kommunikációs eszköz / kommunikációs közeg
yleisradio;public broadcasting radio / national radio service;közszolgálati rádió / országos rádió
maan yleinen radiokanava;national public radio channel;az ország általános közszolgálati rádiócsatornája
Yleisradio;Finnish Broadcasting Company;Finn Rádió- és Televíziótársaság
YLE;YLE / Finnish Broadcasting Company;YLE / Finn Rádió- és Televíziótársaság
