Finnish;English;Hungarian
Maa;Earth;Föld
maapallo;the globe;a földgolyó
ilmastonmuutos;climate change;klímaváltozás
ilmaston lämpeneminen;climate warming;klíma felmelegedés
ilmakehä;atmosphere;légkör
luonnonvarat;natural resources;természeti erőforrások
voimavarat;resources;erőforrások
fossiiliset polttoaineet;fossil fuels;fosszilis tüzelőanyagok
kivihiili;coal;szen
hiili;carbon;szén
hiilidioksidi;carbon dioxide;szén-dioxid
kasvihuoneilmiö;greenhouse effect;üvegházhatás
kasvihuonekaasut;greenhouse gases;üvegházhatású gázok
metaani;methane;metán
päästöt;emissions;kibocsátás
kaasupäästöt;gas emissions;gázkibocsátás
otsonikerros;ozone layer;ózonréteg
otsonikato;ozone depletion;ózonréteg elvékonyodás
väestönkasvu;population growth;népességnövekedés
väestöräjähdys;population explosion;népességrobbanás
tehdastuotanto;factory production;gyári termelés
liikenne;traffic;forgalom
kaupungistuminen;urbanization;urbanizáció
kaatopaikkajäte;landfill waste;lerakó hulladék
pakokaasut;exhaust fumes;kibocsátott gázok
polttoaine;fuel;üzemanyag
jäätiköt;glaciers;gleccserek
merenpinta;sea level;tengerszint
lämpötila;temperature;hőmérséklet
lämpötilan nousu;temperature rise;hőmérséklet emelkedés
merenpinnan nousu;sea-level rise;tengerszint emelkedés
metsien tuhoutuminen;destruction of forests;erdők pusztulása
luonnonkatastrofi;natural disaster;természeti katasztrófa
sääolot;weather conditions;időjárási viszonyok
sään ääri-ilmiöt;extreme weather phenomena;szélsőséges időjárási jelenségek
hurrikaani, pyörremyrsky;hurricane;hurrikán
sykloni;cyclone;ciklon
taifuuni, hirmumyrsky;typhoon;taifun
rankkasateet;heavy rains;heves esőzések
hyökyaalto;tidal wave;árhullám
metsäpalo;forest fire;erdőtűz
kuivuus;drought;aszály
aavikoituminen;desertification;sivatagosodás
helleaalto;heat wave;hőhullám
savusumu;smog;szmog
happosade;acid rain;savas eső
kansainvälinen sopimus;international agreement;n nemzetközi egyezmény
Kioton ilmastosopimus;Kyoto climate agreement;Kiotói klímaegyezmény
vähäpäästöinen;low emissions;alacsony kibocsátású
uusiutuva energialähde;renewable energy source;megújuló energiaforrás
ydinvoimala;nuclear power station;atomerőmű
aurinkosähkö;solar power;napenergia
tuulivoima;wind power;szélenergia
vesivoima;water power;vízenergia
aurinkopaneeli;solar panel;napelem
uudelleenmetsitys;reforestation;újraerdősítés
hybridiauto;hybrid car;hibrid autó
biopolttoaineet;biofuels;biogáz (bioüzemanyag)
kestävä kehitys;sustainable development;fenntartható fejlődés
energiakulutus;energy consumption;energiafogyasztás
energiatehokas;energy-efficient;energiahatékony
ympäristöystävällinen;environment friendly;környezetbarát
hiilijalanjälki;carbon footprint;szénlábnyom
elämäntapa;lifestyle;életmód
päästövähennys;emission reduction;kibocsátáscsökkentés
ekosähkö;green electricity;zöld áram
kierrätys;recycling;újrahasznosítás
Mistä ilmastonmuutos johtuu?;What is the cause of climate change?;Mi okozza a klímaváltozást?
Ihmisen toiminta aiheuttaa ilmaston lämpenemistä.;Human activity causes global warming.;Az emberi tevékenység okozza a globális felmelegedést.
Kasvava väkiluku vaikuttaa ilmastonmuutokseen.;Increasing population has an impact on climate change.;A növekvő népesség hatással van a klímaváltozásra.
Väestönkasvu kiihdyttää kasvihuoneilmiötä.;Population growth is accelerating the greenhouse effect.;A népességnövekedés felgyorsítja az üvegházhatást.
Kaupungin väestö kuluttaa paljon energiaa.;The city population uses up a lot of energy.;A város lakossága sok energiát fogyaszt.
Elämäntapamme kuluttaa Maan voimavaroja.;Our way of life consumes Earth's resources.;Életmódunk elfogyasztja a Föld erőforrásait.
Lentoliikenne kuormittaa ympäristöä.;Air traffic is a burden to the environment.;A légi közlekedés terheli a környezetet.
Fossiiliset polttoaineet tuottavat ilmastokaasuja.;Fossil fuels produce climate gases.;A fosszilis tüzelőanyagok klímagázokat termelnek.
Fossiiliset polttoaineet saastuttavat ilmaa.;Fossil fuels pollute the air.;A fosszilis tüzelőanyagok szennyezik a levegőt.
Polttoaineet vapauttavat ilmakehään hiiltä.;Fuels release carbon into the atmosphere.;Az üzemanyagok szenet bocsátanak a légkörbe.
Ilmakehään vapautuu kaasuja.;Gases are released into the almosphere.;Gázok szabadulnak fel a légkörbe.
Kaasupäästöt lisääntyvät.;Gaseous emissions are increasing.;A gázkibocsátás növekszik.
Kasvihuonekaasut estävät lämmön karkaamisen.;Greenhouse gases prevent heat from escaping.;Az üvegházhatású gázok megakadályozzák a hő elszökését.
Maapallo lämpenee nopeasti.;The Earth is warming rapidly.;A Föld gyorsan melegszik.
Lämpötilat kohoavat.;Temperatures are rising.;A hőmérséklet emelkedik.
Kaasut nostavat ilmakehän lämpötilaa.;The gases increase the atmosphere's temperature.;A gázok növelik a légkör hőmérsékletét.
Kasvu pahentaa ympäristöongelmia.;Growth exacerbate environmental problems.;A növekedés súlyosbítja a környezeti problémákat.
Merien pinta nousee.;The level of the seas is rising.;A tengerek szintje emelkedik.
Merenpinnan nousu kiihtyy.;The rise of sealevel is accelerating.;A tengerszint emelkedése gyorsul.
Jäätiköt pienenevät vuosi vuodelta.;Glaciers are shrinking year by year.;A gleccserek évről évre zsugorodnak.
Jäätiköt sulavat.;The glaciers are melting.;A gleccserek olvadnak.
Merenpinnan nousu vaarantaa rannikkoalueet.;The rising sea levels threaten coastal zones.;Az emelkedő tengerszint veszélyezteti a part menti területeket.
Tulvat uhkaavat monia saaria.;Floods threaten many islands.;Az árvizek sok szigetet fenyegetnek.
Luonnonkatastrofit yleistyvät.;Natural disasters are becoming more common.;A természeti katasztrófák egyre gyakoribbak.
Sademetsät tuhoutuvat nopeasti.;The rainforests are rapidly being destroyed.;Az esőerdők gyorsan pusztulnak.
Miten ilmastonmuutosta torjutaan?;How to combat / counter climate change?;Hogyan lehet küzdeni a klímaváltozás ellen?
Ilmastomuutos tahdotaan pysäyttää.;We want to stop climate change.;Meg akarjuk állítani a klímaváltozást.
Ilmastosopimukset tähtäävät päästöjen vähentämiseen.;Climate agreements aim at reducing emissions.;A klímaegyezmények a kibocsátás csökkentését célozzák.
Maat sitoutuvat vähentämään päästönsä.;Countries commit to reducing their emissions.;Az országok elkötelezik magukat kibocsátásaik csökkentésére.
Kasvihuonekaasupäästöjä pitää vähentää 60 %.;Greenhouse gas emissions must be reduced by 60%.;Az üvegházhatású gázkibocsátást 60%-kal kell csökkenteni.
Kasvihuonekaasupäästöjä pitää rajoittaa.;Greenhouse gas emissions must be limited.;Az üvegházhatású gázkibocsátást korlátozni kell.
Sademetsiä täytyy suojella.;The rain forests must be protected.;Az esőerdőket védeni kell.
EU haluaa edistää kestävää kehitystä;The EU wants to promote sustainable development;Az EU a fenntartható fejlődést kívánja előmozdítani.
Meidän pitää pienentää omaa hiilijalanjälkeä.;We need to reduce our own carbon footprint.;Csökkentenünk kell a saját szénlábnyomunkat.
Vaihto vihreään sähköön on helppo toteuttaa.;Switching to green electricity is easy to implement.;A zöld áramra való átállás könnyen megvalósítható.
