Finnish;English;hungarian
Luonne;Character;karakter
adjektiivi;adjective;melléknév
kiva, mukava;nice;szép, kellemes
ystävällinen;friendly;barátságos
kohtelias;polite;udvarias
ahkera;hard-working;szorgalmas
puhelias;talkative;beszédes
sosiaalinen;sociable;szociális
viisas, älykäs, fiksu;wise, intelligent, smart;bölcs, okos, okos
optimistinen;optimistic;optimista
hauska;fun;szórakoztató
huumorintajuinen;having sense of humour;tréfás
iloinen;glad;vidám
täsmällinen;punctual, exact;pontos
rehellinen;honest;becsületes
vastakohta;opposite, contrast;szemben
kamala;terrible;szörnyű
epäystävällinen, ilkeä;unfriendly, mean;barátságtalan, aljas
epäkohtelias;impolite;udvariatlan
laiska;lazy;lusta
hiljainen;quiet, silent;csendes
epäsosiaalinen;unsociable;társadalomellenes
tyhmä;stupid, dumb;hülye
pessimistinen;pessimistic;pesszimista
tylsä;boring;unalmas
huumorintajuton;no sense of humour;humorérzék mentes
surullinen, vakava;sad, serious;szomorú, komoly
epätäsmällinen;unpunctucal;pontatlan
epärehellinen;dishonest;tisztességtelen
Ulkonäkö;Appearance;Úgy néz ki
kaunis;beautiful;gyönyörű
komea;handsome;jóképű
hyvännäköinen;good-looking;jól néz ki
nuori;young;fiatal
vaalea;blond;fény
lyhyt;short;rövid
laiha;thin;sovány
hoikka;slim;vékony
urheilullinen;sporty, athletic;sportos
pitkähiuksinen;long-haired;hosszú hajú
ruma;ugly;csúnya
vanha;old;régi
tumma;dark;sötét
pitkä;tall;hosszú
lihava, tukeva;fat, sturdy;kövér, erős
lyhythiuksinen;short-haired;rövid hajú
Millainen sinä olet?;What kind of person are you?;Milyen vagy?
Millainen sinun hyvä ystävä on?;What is your good friend like?;Milyen a jó barátod?
Millaisia sinun perheenjäsenet ovat?;What are your family members like?;Milyenek a családtagjaid?
Miltä susta tuntuu?;How do you feel?;Milyen érzés a hó?
Mua väsyttää / nukuttaa;I'm tired / sleepy;Fáraszt/álmos
Mua naurattaa;I am laughing;Megnevettet
Mua itkettää;I am crying;sírok
Mä olen väsynyt;I am tired;fáradt vagyok
Mä olen iloinen / onnellinen;I am happy / happy;boldog vagyok/boldog
Mä olen surullinen;I am sad;szomorú vagyok
Mua hermostuttaa / jännittää;I am nervous/excited;Idegessé/izgatottá tesz
Mä olen hermostunut;I am nervous;Ideges vagyok
Mua harmittaa;I'm annoyed;Elszomorít
Mua ärsyttää;irritated;bosszant
Mua suututtaa;angry;dühít
Mua raivostuttaa;enraged;feldühít
Mä olen kiukkuinen / vihainen;I'm angry / upset;dühös vagyok / mérges
Mua pelottaa;I am scared;félek
Mua hävettää;I am ashamed;Szégyellem magam
Olen nolona;I am embarrassed;Szégyellem
Tämä on noloa;This is embarrassing;ez megalázó
Mua kaduttaa;I'm sorry;megbántam
Mua palelee / paleltaa;I'm cold / freezing;fázom
Mulla on kylmä;I'm cold;fázok
Mua janottaa;I'm thirsty;szomjas vagyok (beszélt)
Mua oksettaa;I feel sick;Beteg vagyok
Mua huimaa / pyörryttää;I feel dizzy / lightheaded;Szédülök/szédülök
Mulla on jano;I am thirsty;szomjas vagyok
Mulla on huono olo;I don't feel so good.;rosszul érzem magam
