Finnish;English;Hungarian
Mitä airoilla tehdään?;What do people do with oars?;Mit csinálnak az evezőkkel?
Mitä aivoilla tehdään?;What do people do with a brain?;Mit csinálnak az aggyal?
Mitä ampuma-aseella tehdään?;What do people do with a gun?;Mit csinálnak a fegyverrel?
Mitä astianpesukoneella tehdään?;What do people do with a dishwasher?;Mit csinálnak a mosogatógéppel?
Mitä aura-autolla tehdään?;What do people do with a snowplow?;Mit csinálnak a hóekével?
Mitä autolla tehdään?;What do people do with a car?;Mit csinálnak az autóval?
Mitä avaimella tehdään?;What do people do with a key?;Mit csinálnak a kulccsal?
Mitä dosetilla tehdään?;What do people do with a medicine dispenser?;Mit csinálnak a gyógyszeradagolóval?
Mitä hammasharjalla tehdään?;What do people do with a toothbrush?;Mit csinálnak a fogkefével?
Mitä hampailla tehdään?;What do people do with teeth?;Mit csinálnak a fogakkal?
Mitä henkarilla tehdään?;What do people do with a hanger?;Mit csinálnak a vállfával?
Mitä henkkareilla tehdään?;What do people do with ID?;Mit csinálnak a személyivel?
Mitä herätyskellolla tehdään?;What do people do with an alarm clock?;Mit csinálnak az ébresztőórával?
Mitä hevosella tehdään?;What do people do with a horse?;Mit csinálnak a lóval?
Mitä hiusharjalla tehdään?;What do people do with a hairbrush?;Mit csinálnak a hajkefével?
Mitä hiuslenkillä tehdään?;What do people do with a hair tie?;Mit csinálnak a hajgumival?
Mitä hiustenkuivaajalla tehdään?;What do people do with a hair dryer?;Mit csinálnak a hajszárítóval?
Mitä huulipunalla tehdään?;What do people do with lipstick?;Mit csinálnak a rúzzsal?
Mitä ilmeillä ja eleillä tehdään?;What do people do with expressions and gestures?;Mit csinálnak a mimikával és gesztusokkal?
Mitä jakoavaimella tehdään?;What do people do with a wrench?;Mit csinálnak a villáskulccsal?
Mitä jalkapallolla tehdään?;What do people do with a football?;Mit csinálnak a focilabdával?
Mitä jaloilla tehdään?;What do people do with legs?;Mit csinálnak a lábakkal?
Mitä jarrulla tehdään?;What do people do with a brake?;Mit csinálnak a fékkel?
Mitä kaakeleilla tehdään?;What do people do with tiles?;Mit csinálnak a csempékkel?
Mitä kalenterilla tehdään?;What do people do with a calendar?;Mit csinálnak a naptárral?
Mitä kammalla tehdään?;What do people do with a comb?;Mit csinálnak a fésűvel?
Mitä kastelukannulla tehdään?;What do people do with a watering can?;Mit csinálnak a locsolókannával?
Mitä kaukosäätimellä tehdään?;What do people do with a remote control?;Mit csinálnak a távirányítóval?
Mitä kiekolla tehdään?;What do people do with a puck?;Mit csinálnak a koronggal?
Mitä kiikareilla tehdään?;What do people do with binoculars?;Mit csinálnak a távcsővel?
Mitä kirjastokortilla tehdään?;What do people do with a library card?;Mit csinálnak a könyvtári kártyával?
Mitä kirveellä tehdään?;What do people do with an axe?;Mit csinálnak a fejszével?
Mitä kitaralla tehdään?;What do people do with a guitar?;Mit csinálnak a gitárral?
Mitä klemmarilla tehdään?;What do people do with a paperclip?;Mit csinálnak a gemkapoccsal?
Mitä kopiokoneella tehdään?;What do people do with a copy machine?;Mit csinálnak a fénymásolóval?
Mitä koristetyynyllä tehdään?;What do people do with a decorative pillow?;Mit csinálnak a díszpárnával?
Mitä korvatulpilla tehdään?;What do people do with earplugs?;Mit csinálnak a füldugóval?
Mitä kottikärryillä tehdään?;What do people do with a wheelbarrow?;Mit csinálnak a talicskával?
Mitä kuulokkeilla tehdään?;What do people do with headphones?;Mit csinálnak a fejhallgatóval?
Mitä kuusenpalloilla tehdään?;What do people do with Christmas baubles?;Mit csinálnak a karácsonyfadíszekkel?
Mitä kynsillä tehdään?;What do people do with fingernails?;Mit csinálnak a körmökkel?
Mitä kynttilällä tehdään?;What do people do with a candle?;Mit csinálnak a gyertyával?
Mitä käteisellä tehdään?;What do people do with cash?;Mit csinálnak készpénzzel?
Mitä kävelykengillä tehdään?;What do people do with walking shoes?;Mit csinálnak a túracipővel?
Mitä köydellä tehdään?;What do people do with rope?;Mit csinálnak a kötéllel?
Mitä laastarilla tehdään?;What do people do with a band-aid?;Mit csinálnak a sebtapasszal?
Mitä lapiolla tehdään?;What do people do with a shovel?;Mit csinálnak az ásóval?
Mitä laskuvarjolla tehdään?;What do people do with a parachute?;Mit csinálnak az ejtőernyővel?
Mitä lastenvaunuilla tehdään?;What do people do with a pram?;Mit csinálnak a babakocsival?
Mitä laturilla tehdään?;What do people do with a charger?;Mit csinálnak a töltővel?
