Finnish;English;Hungarian
olla;to be;lenni
(minä) olen;I am;én vagyok
(minä) en ole;I am not;én nem vagyok
istua;to sit;ülni
(minä) istun;I sit;én ülök
(minä) en istu;I do not sit;én nem ülök
seisoa;to stand;állni
(minä) seison;I stand;én állok
(minä) en seiso;I do not stand;én nem állok
syödä;to eat;enni
(minä) syön;I eat;én eszem
(minä) en syö;I do not eat;én nem eszem
juoda;to drink;inni
(minä) juon;I drink;én iszom
(minä) en juo;I do not drink;én nem iszom
odottaa;to wait;várni
(minä) odotan;I wait;én várok
(minä) en odota;I do not wait;én nem várok
ymmärtää;to understand;érteni
(minä) ymmärrän;I understand;én értem
(minä) en ymmärrä;I do not understand;én nem értem
muistaa;to remember;emlékezni
(minä) muistan;I remember;én emlékszem
(minä) en muista;I do not remember;én nem emlékszem
unohtaa;to forget;elfelejteni
(minä) unohdan;I forget;én elfelejtem
(minä) en unohda;I do not forget;én nem felejtem el
ajatella;to think;gondolni
(minä) ajattelen;I think;én gondolok
(minä) en ajattele;I do not think;én nem gondolok
tietää;to know;tudni
(minä) tiedän;I know;én tudom
(minä) en tiedä;I do not know;én nem tudom
osata;to be able to;tudni (képes lenni)
(minä) osaan;I am able;én tudok
(minä) en osaa;I am not able;én nem tudok
opiskella;to study;tanulni
(minä) opiskelen;I study;én tanulok
(minä) en opiskele;I do not study;én nem tanulok
oppia;to learn;megtanulni
(minä) opin;I learn;én megtanulok
(minä) en opi;I do not learn;én nem tanulok meg
kysyä;to ask;kérdezni
(minä) kysyn;I ask;én kérdezek
(minä) en kysy;I do not ask;én nem kérdezek
vastata;to answer;válaszolni
(minä) vastaan;I answer;én válaszolok
(minä) en vastaa;I do not answer;én nem válaszolok
pyytää;to request;kérni
(minä) pyydän;I request;én kérek
(minä) en pyydä;I do not request;én nem kérek
sanoa;to say;mondani
(minä) sanon;I say;én mondom
(minä) en sano;I do not say;én nem mondom
kertoa;to tell;elmesélni
(minä) kerron;I tell;én elmesélem
(minä) en kerro;I do not tell;én nem mesélem el
keskustella;to chat;beszélgetni
(minä) keskustelen;I chat;én beszélgetek
(minä) en keskustele;I do not chat;én nem beszélgetek
nukkua;to sleep;aludni
(minä) nukun;I sleep;én alszom
(minä) en nuku;I do not sleep;én nem alszom
herätä;to wake up;ébredni
(minä) herään;I wake up;én ébredek
(minä) en herää;I do not wake up;én nem ébredek
nousta;to get up;felkelni
