Finnish;english;hungarian
Pesen astiat juoksevan veden alla.;I wash the dishes under running water.;Az edényeket folyó víz alatt mosogatom.
Suljen suihkun saippuoinnin ja hiusten pesun ajaksi.;I close the shower while soaping and washing my hair.;Lezárom a zuhanyt, közben beszappanozok és hajat mosok.
Tykkään pitkistä suihkuista.;I like long showers.;Szeretem a hosszú zuhanyzást.
Tykkään uusista vaatteista.;I like new clothes.;Szeretem az új ruhákat.
Omalla autolla on paras mennä joka paikkaan.;It's best to go everywhere with your own car.;A legjobb, ha mindenhova saját autóval megy.
Sopiva lämpötila kotona on 25 astetta.;The ideal temperature at home is 25 degrees.;Otthon az ideális hőmérséklet 25 fok.
Pakastimessani on paljon jäätä.;There is a lot of ice in my freezer.;Sok jég van a fagyasztómban.
En koskaan tee kauppalistaa, vaan päätän kaupassa, mitä ostan.;I never make a shopping list, I decide what I buy in the store.;Soha nem készítek bevásárlólistát, én döntöm el, hogy mit veszek a boltban.
Lomalla täytyy päästä ulkomaille.;You have to go abroad on vacation.;Külföldre kell menni nyaralni.
Tykkään suomalaisista vihanneksista, hedelmistä ja juureksista.;I like Finnish vegetables, fruits and root vegetables.;Szeretem a finn zöldségeket, gyümölcsöket és a gyökereket.
Ostan aina halvinta pyykinpesuainetta.;I always buy the cheapest laundry detergent.;Mindig a legolcsóbb mosószert veszem.
Ostan usein kahvilasta kahvia tai teetä mukaan.;I often buy coffee or tea to go from a café.;Gyakran veszek kávét vagy teát egy kávézóból.
Käyn usein kirpputoreilla.;I often go to flea markets.;Gyakran járok bolhapiacra.
Säilytän koulupaperit järjestyksessä omassa kansiossa.;I keep my school papers in order in my own folder.;Az iskolai dolgozataimat a saját mappámban rendezem.
On tärkeää seurata maailman politiikkaa.;It is important to follow world politics.;Fontos a világpolitika követése.
Haluan olla aktiivinen Suomen politiikassa.;I want to be active in Finnish politics.;A finn politikában szeretnék aktív lenni.
Suomen yhteiskunta toimii hyvin.;Finnish society functions well.;A finn társadalom jól működik.
Korruptiota on kaikissa maissa.;Corruption exists in all countries.;Korrupció minden országban létezik.
On tärkeää äänestää kaikissa vaaleissa.;It is important to vote in every election.;Fontos, hogy minden választáson szavazzunk.
Kansanäänestykset ovat hyviä, ja niitä pitäisi olla enemmän.;Referendums are good, and there should be more of them.;A népszavazás jó, és többnek kellene lennie.
Poliitikoilla on sopivat palkat.;Politicians have decent salaries.;A politikusoknak tisztességes fizetésük van.
Poliitikoilla ei ole yksityiselämää.;Politicians don't have private lives.;A politikusoknak nincs magánéletük.
Suomessa poliitikkoihin voi luottaa.;In Finland, you can trust politicians.;Finnországban megbízhat a politikusokban.
Kaikkien ihmisten pitäisi olla kiinnostuneita politiikasta.;All people should be interested in politics.;Minden embert érdekelni kell a politika iránt.
politiikka;policy;politika
poliitikko;politician;politikus
vaalit;election;választás
äänestää;to vote;szavazni
äänestys;voting;szavazás
Luonnossa pitää liikkua joka viikko.;You should get out in nature every week.;Minden héten mozogni kell a természetben.
On tärkeää seurata, mitä luonnossa tapahtuu.;It is important to monitor what is happening in nature.;Fontos követni a természetben zajló eseményeket.
On tärkeää osata suomalaisten kasvien nimiä.;It is important to know the names of Finnish plants.;Fontos tudni a finn növények nevét.
On tärkeää tietää, mitä eläimiä Suomen metsissä on.;It is important to know what animals live in Finnish forests.;Fontos tudni, hogy milyen állatok élnek a finn erdőkben.
On kiva, että Suomessa on neljä vuodenaikaa.;It's nice that Finland has four seasons.;Jó, hogy Finnországban négy évszak van.
Suomen luonto on aina kaunis.;Finnish nature is always beautiful.;A finn természet mindig gyönyörű.
On tärkeää pitää luonto siistinä.;It is important to keep nature clean.;Fontos a természet tisztán tartása.
Kalastan, sienestän ja marjastan mielelläni.;I enjoy fishing, mushroom picking, and berry picking.;Szeretek horgászni, gombászni és bogyózni.
Metsä on minulle tärkeä paikka.;The forest is an important place for me.;Az erdő fontos hely számomra.
Luontoon voi mennä aina, ilmasta riippumatta.;You can always go to nature, regardless of the weather.;A természetbe mindig lehet menni, időjárástól függetlenül.
