French;Finnish;Hungarian
Voici le parc Kaivopuisto.;Tässä on Kaivopuiston puisto.;Itt van a Kaivopuisto park.
J'aime ce parc.;Pidän tästä puistosta.;Szeretem ezt a parkot.
J'adore cette vue et cet air fraîche.;Rakastan tätä näkymää ja raikasta ilmaa.;Imádom ezt a kilátást és a friss levegőt.
Regarde ces voiliers là-bas !;Katso noita purjeveneitä tuolla!;Nézd azokat a vitorlásokat ott!
Regarde cette belle fille.;Katso tuota kaunista tyttöä.;Nézd azt a szép lányt.
Ce matin, il fait beau.;Tänä aamuna on kaunis ilma.;Ma reggel szép az idő.
ce livre; tämä kirja; ez a könyv
ces livres; nämä kirjat; ezek a könyvek
ce garçon; tämä poika; ez a fiú
ces garçons; nämä pojat; ezek a fiúk
ce chien; tämä koira; ez a kutya
ces chiens; nämä koirat; ezek a kutyák
ce stylo; tämä kynä; ez a toll
ces stylos; nämä kynät; ezek a tollak
ce sac; tämä laukku; ez a táska
ces sacs; nämä laukut; ezek a táskák
ce film; tämä elokuva; ez a film
ces films; nämä elokuvat; ezek a filmek
ce manteau; tämä takki; ez a kabát
ces manteaux; nämä takit; ezek a kabátok
ce café; tämä kahvi; ez a kávé
ces cafés; nämä kahvit; ezek a kávék
ce vélo; tämä pyörä; ez a bicikli
ces vélos; nämä pyörät; ezek a biciklik
ce problème; tämä ongelma; ez a probléma
ces problèmes; nämä ongelmat; ezek a problémák
cet hôtel; tämä hotelli; ez a szálloda
ces hôtels; nämä hotellit; ezek a szállodák
cet arbre; tämä puu; ez a fa
ces arbres; nämä puut; ezek a fák
cet homme; tämä mies; ez a férfi
ces hommes; nämä miehet; ezek a férfiak
cet ami; tämä ystävä; ez a barát
ces amis; nämä ystävät; ezek a barátok
cet avion; tämä lentokone; ez a repülő
ces avions; nämä lentokoneet; ezek a repülők
cet ordinateur; tämä tietokone; ez a számítógép
ces ordinateurs; nämä tietokoneet; ezek a számítógépek
cet exercice; tämä harjoitus; ez a gyakorlat
ces exercices; nämä harjoitukset; ezek a gyakorlatok
cet accident; tämä onnettomuus; ez a baleset
ces accidents; nämä onnettomuudet; ezek a balesetek
cet étudiant; tämä opiskelija (mies); ez a diák (fiú)
ces étudiants; nämä opiskelijat (miehet); ezek a diákok (fiúk)
cet été; tämä kesä; ez a nyár
ces étés; nämä kesät; ezek a nyarak
cette photo; tämä valokuva; ez a fénykép
ces photos; nämä valokuvat; ezek a fényképek
cette maison; tämä talo; ez a ház
ces maisons; nämä talot; ezek a házak
cette fille; tämä tyttö; ez a lány
ces filles; nämä tytöt; ezek a lányok
cette robe; tämä mekko; ez a ruha
ces robes; nämä mekot; ezek a ruhák
cette voiture; tämä auto; ez az autó
ces voitures; nämä autot; ezek az autók
cette chaise; tämä tuoli; ez a szék
ces chaises; nämä tuolit; ezek a székek
cette table; tämä pöytä; ez az asztal
ces tables; nämä pöydät; ezek az asztalok
cette idée; tämä ajatus; ez az ötlet
ces idées; nämä ajatukset; ezek az ötletek
cette femme; tämä nainen; ez a nő
ces femmes; nämä naiset; ezek a nők
cette fenêtre; tämä ikkuna; ez az ablak
ces fenêtres; nämä ikkunat; ezek az ablakok
