Finnish;English;Hungarian
Maasto;Terrain;Terep
aarniometsä;old-growth forest;őserdő
aavikko;desert;sivatag
dyyni;dune;homokdűne
erämaa;wilderness;vadon
harju;ridge;hát (hegygerinc)
luoto;rocky island;kősziget
keidas;oasis;oázis
korpi;woodland;erdei terület
laakso;valley;völgy
lakeus;plain;síkság
mäki;hill;domb
neva;marsh;mocsár
niemi;cape;fok
ranta;beach;part
rannikko;shore;tengerpart
rotko;ravine;szurdok
saari;island;sziget
saaristo;archipelago;szigetvilág
savanni;savannah;szavanna
suo;swamp;lapály, mocsár
tulivuori;volcano;vulkán
tunturi;mountain (tall, round);fjell (magas, kerek hegy)
vaara;stoney hill;köves domb
viidakko;jungle;dzsungel
vuori;mountain;hegy
vuoristo;mountain range;hegység
Vesistöt;Water ways;Vízrajz
joki;river;folyó
järvi;lake;tó
kannas;isthmus;szoros, földsáv
kari;reef;zátony
koski;rapids;zúgó
laguuni;lagoon;lagúna
lahti;bay, cove;öböl
lampi;pond;halastó
lätäkkö;puddle;vízfolt
meri;sea;tenger
puro;stream, brook;patak
salmi;strait;szoros
sivujoki;tributary;mellékfolyó
vesiputous;waterfall;vízesés
vesisade;rain;eső
vuono;fjord;fjord
vuorovesi;tide;ár-apály
Taivas;Sky;Ég
aurinko;sun;nap
auringonlasku;sun set;naplemente
auringonnousu;sun rise;napfelkelte
auringonpimennys;solar eclipse;napfogyatkozás
kuu;moon;hold
pilvi;cloud;felhő
revontulet;northern light;északi fény
sateenkaari;rainbow;szivárvány
tähti;star;csillag
tähdenlento;falling star;hullócsillag
